route,segment,cache_count,cache_path,status,scans
route26d,14,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000026d--2363789071--14.json.gz,AVAILABLE,600
route26d,15,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000026d--2363789071--15.json.gz,AVAILABLE,600
route26d,96,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000026d--2363789071--96.json.gz,AVAILABLE,600
route28b,33,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000028b--ca855432c0--33.json.gz,AVAILABLE,599
route28f,32,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000028f--bc6e81a93a--32.json.gz,AVAILABLE,600
route28f,37,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000028f--bc6e81a93a--37.json.gz,AVAILABLE,600
route259,2,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000259--f920fb6ddd--2.json.gz,AVAILABLE,600
route259,11,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000259--f920fb6ddd--11.json.gz,AVAILABLE,600
route264,6,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000264--31b802e87a--6.json.gz,AVAILABLE,600
route264,22,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000264--31b802e87a--22.json.gz,AVAILABLE,600
route27f,16,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\0000027f--cb2a133365--16.json.gz,AVAILABLE,600
route274,33,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000274--d3bbe6ddcd--33.json.gz,AVAILABLE,600
route280,7,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000280--91181081d4--7.json.gz,AVAILABLE,600
route280,15,1,C:\CarrotRadarResearch\analysis\20260919_MRRevo14F_parent_sibling_publication_shadow\scratch\corpus\00000280--91181081d4--15.json.gz,AVAILABLE,599
