route,segment,scan_s,scan_ns,pid,event,slots,raw_ids,rep,d_m,y_m,v_mps,camera,oem,published,public_alias
route26d,14,0.0,943642631458,1000000,PID_BIRTH_OR_REENTRY,9,1,1,72.0,4.5625,-27.0,0,0,1,32
route26d,14,0.0,943642631458,1000001,PID_BIRTH_OR_REENTRY,13,2,2,22.75,-3.21875,-3.5,0,0,1,33
route26d,14,0.0,943642631458,1000002,PID_BIRTH_OR_REENTRY,15,3,3,53.25,-15.6875,-27.5,0,0,1,34
route26d,14,0.0,943642631458,1000003,PID_BIRTH_OR_REENTRY,16,4,4,40.75,1.53125,0.75,1,1,1,35
route26d,14,0.0,943642631458,1000004,PID_BIRTH_OR_REENTRY,19,5,5,36.0,3.40625,-27.0,0,0,1,36
route26d,14,0.0,943642631458,1000005,PID_BIRTH_OR_REENTRY,23,6,6,126.75,-10.96875,-27.25,0,0,1,37
route26d,14,0.099944,943742575111,1000005,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,0.199692,943842323267,1000006,PID_BIRTH_OR_REENTRY,24,7,7,125.25,-11.78125,-27.75,0,0,1,38
route26d,14,0.300173,943942804406,1000006,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,0.699929,944342560555,1000007,PID_BIRTH_OR_REENTRY,26,8,8,45.5,5.9375,0.75,0,0,1,39
route26d,14,0.900806,944543437556,1000008,PID_BIRTH_OR_REENTRY,27,9,9,156.0,-12.375,-27.75,0,0,1,40
route26d,14,0.900806,944543437556,1000009,PID_BIRTH_OR_REENTRY,28,10,10,51.5,3.75,-27.5,0,0,1,41
route26d,14,0.900806,944543437556,1000010,PID_BIRTH_OR_REENTRY,29,11,11,91.0,6.71875,-27.25,0,0,1,42
route26d,14,0.900806,944543437556,1000007,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.000911,944643542110,1000007,COAST_RECOVERY_OR_QUALIFICATION_RESUME,30,8,8,44.75,5.21875,0.5,0,0,1,39
route26d,14,1.000911,944643542110,1000011,PID_BIRTH_OR_REENTRY,31,12,12,43.5,-2.90625,0.25,0,0,1,43
route26d,14,1.000911,944643542110,1000002,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.100364,944742995126,1000007,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.100364,944742995126,1000011,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.200294,944842925883,1000007,COAST_RECOVERY_OR_QUALIFICATION_RESUME,0,8,8,45.5,4.8125,0.75,0,0,1,39
route26d,14,1.200294,944842925883,1000004,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.399839,945042470474,1000012,PID_BIRTH_OR_REENTRY,1,13,13,43.75,-1.0,0.5,0,0,1,44
route26d,14,1.499568,945142199765,1000012,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.600107,945242738615,1000013,PID_BIRTH_OR_REENTRY,2,14,14,152.0,-6.4375,-27.75,0,0,1,45
route26d,14,1.699831,945342462079,1000013,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,1.800064,945442695556,1000007,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,2.099991,945742622593,1000014,PID_BIRTH_OR_REENTRY,3,15,15,46.75,4.75,0.5,0,0,1,46
route26d,14,2.200325,945842956312,1000014,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,2.401126,946043757270,1000015,PID_BIRTH_OR_REENTRY,4,16,16,155.5,-7.9375,-28.0,0,0,1,47
route26d,14,2.501095,946143726646,1000000,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,2.600615,946243246135,1000016,PID_BIRTH_OR_REENTRY,6,17,17,106.75,8.8125,-57.75,0,0,1,48
route26d,14,2.600615,946243246135,1000009,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
route26d,14,2.699949,946342580539,1000016,OBSERVATION_OR_QUALIFICATION_GAP,,,,,,,,,,
