event_id,route,segment,prior_gt,prior_source,old_ns,new_ns,prior_gap_s,head_status,old_match_status,new_match_status,old_match_count,new_match_count,old_delta_ms,new_delta_ms,head_old_pid,head_new_pid,head_old_raw,head_new_raw,old_raw_overlap,new_raw_overlap,head_old_alias,head_new_alias,head_old_published,head_new_published
00000259_s0-0_1000299-1000306_91549013936-91649132973,00000259,0,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,91549013936,91649132973,0.100119037,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,2,2,0.0,0.0,,,,,,,,,,
00000259_s1-1_1001138-1001140_169698556641-169798698653,00000259,1,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,169698556641,169798698653,0.100142012,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,UNIQUE_GEOMETRY,2,1,0.0,0.0,,1000285,,254,,0,,77,,1
00000259_s17-17_1008793-1008798_1138109967680-1138210479160,00000259,17,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,1138109967680,1138210479160,0.10051148,UNRESOLVED_REMAP,UNIQUE_GEOMETRY,AMBIGUOUS_REMAP,1,2,0.0,0.0,1000309,,291,,0,,92,,1,
00000259_s41-41_1021715-1021716_2584438766764-2584538523311,00000259,41,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,2584438766764,2584538523311,0.099756547,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,2,3,0.0,0.0,,,,,,,,,,
00000261_s28-28_1019021-1019028_1868858515328-1868958326096,00000261,28,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,1868858515328,1868958326096,0.099810768,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,2,2,0.0,0.0,,,,,,,,,,
00000266_s0-0_1000084-1000087_94786710437-94886666261,00000266,0,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,94786710437,94886666261,0.099955824,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,2,2,0.0,0.0,,,,,,,,,,
00000266_s16-16_1010541-1010551_1088036102422-1088136679995,00000266,16,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,1088036102422,1088136679995,0.100577573,DISTINCT_PID_ON_HEAD,UNIQUE_GEOMETRY,UNIQUE_GEOMETRY,1,1,0.0,0.0,1000384,1000394,358,277,0,0,43,93,1,1
00000267_s17-17_1010843-1010847_3281285673130-3281377736141,00000267,17,SAME_CONFIRMED,TARGETED_QCAMERA_REVIEW,3281285673130,3281377736141,0.092063011,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,3,3,0.0,0.0,,,,,,,,,,
00000269_s7-7_1004449-1004465_531256501507-531555795618,00000269,7,SAME_CONFIRMED,PRIOR_QCAMERA_REVIEW,531256501507,531555795618,0.299294111,DISTINCT_PID_ON_HEAD,UNIQUE_GEOMETRY,UNIQUE_GEOMETRY,1,1,0.0,0.0,1000618,1000634,482,482,0,0,94,66,1,1
00000269_s7-7_1004621-1004648_540736378228-541135854981,00000269,7,SAME_CONFIRMED,PRIOR_QCAMERA_REVIEW,540736378228,541135854981,0.399476753,DISTINCT_PID_ON_HEAD,UNIQUE_GEOMETRY,UNIQUE_GEOMETRY,1,1,0.0,0.0,1000790,1000817,482,482,0,0,88,91,1,1
00000269_s7-7_1004663-1004680_544125961580-544526502938,00000269,7,SAME_CONFIRMED,PRIOR_QCAMERA_REVIEW,544125961580,544526502938,0.400541358,DISTINCT_PID_ON_HEAD,UNIQUE_GEOMETRY,UNIQUE_GEOMETRY,1,1,0.0,0.0,1000832,1000849,482,482,0,0,52,35,1,1
00000269_s7-7_1004713-1004715_549217218683-549416209043,00000269,7,SAME_CONFIRMED,PRIOR_QCAMERA_REVIEW,549217218683,549416209043,0.19899036,UNRESOLVED_REMAP,AMBIGUOUS_REMAP,AMBIGUOUS_REMAP,2,2,0.0,0.0,,,,,,,,,,
