case,route,segment,scan_s,scan_ns,raw_slot,raw_track_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera_assoc,oem_word1,published,state,prior_gt
R264_S6_SPLIT,route264,6,1.299938,434261821730,0|13|19,1|7|9,1000000,32,4.0,-0.21875,0.0,1|7|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.399311,434361195006,0|13|19,1|7|9,1000000,32,4.0,-0.1875,0.0,1|7|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.500053,434461936332,0|13|19,1|7|9,1000000,32,4.0,-0.1875,0.0,1|7|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.599922,434561805617,0|19,1|9,1000000,32,4.0,-0.15625,0.0,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.699586,434661469642,0|19,1|9,1000000,32,4.0,-0.125,0.0,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.799712,434761595345,0|19,1|9,1000000,32,4.0,-0.0625,0.0,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,1.899629,434861512725,0|19,1|9,1000000,32,4.0,-0.03125,0.0,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.000564,434962448253,0|19,1|9,1000000,32,4.0,0.0,0.0,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.101046,435062929712,0|19,1|9,1000000,32,4.0,0.0,-0.25,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.20137,435163253997,0|19,1|9,1000000,32,4.0,0.0,-0.25,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.299661,435261544762,0|19,1|9,1000000,32,4.0,-0.0625,-0.25,1|9,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.399354,435361237694,0|19|26,1|9|25,1000000,32,4.0,-0.09375,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.499705,435461588705,0|19|26,1|9|25,1000000,32,4.0,0.0,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.599716,435561600205,0|19|26,1|9|25,1000000,32,3.75,0.0,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.699343,435661226454,0|19|26,1|9|25,1000000,32,3.75,-0.03125,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.800034,435761918225,0|19|26,1|9|25,1000000,32,3.75,-0.125,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.899279,435861163038,0|19|26,1|9|25,1000000,32,3.75,-0.21875,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,2.999358,435961242052,0|19|26,1|9|25,1000000,32,3.75,-0.25,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.099989,436061872607,0|19|26,1|9|25,1000000,32,3.75,-0.25,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.199847,436161731204,0|19|26,1|9|25,1000000,32,3.75,-0.28125,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.299586,436261469459,0|19|26,1|9|25,1000000,32,3.5,-0.21875,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.399722,436361605519,0|19|26,1|9|25,1000000,32,3.25,-0.1875,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.499543,436461426451,0|19|26,1|9|25,1000000,32,3.25,-0.125,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.599516,436561399711,0|19|26,1|9|25,1000000,32,3.25,-0.09375,-0.5,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.701479,436663363191,0|19|26,1|9|25,1000000,32,3.0,-0.03125,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.800022,436761905846,0|19|26,1|9|25,1000000,32,3.0,-0.03125,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.899833,436861717045,0|19|26,1|9|25,1000000,32,3.0,0.0,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
R264_S6_SPLIT,route264,6,3.99937,436961253904,0|19|26,1|9|25,1000000,32,3.0,0.0,-0.25,1|9|25,1,1,1,1,OBSERVED_QUALIFIED,SAME_SURFACE_FRAGMENT
