segment_s,scan_ns,slot,raw_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera,oem,published
11.027501,1014603893126,16,4,1000003,35,39.5,1.5625,-0.75,4,4,0,1,1
11.027501,1014603893126,23,383,1000386,74,27.25,-2.78125,-5.5,383,383,0,0,1
11.027501,1014603893126,8,459,1000467,53,92.5,-10.4375,-4.0,459,459,0,0,1
11.027501,1014603893126,2,489,1000497,61,91.25,6.875,-1.5,489,489,0,0,1
11.027501,1014603893126,11,517,1000525,85,93.25,4.28125,-3.75,517,517,0,0,1
11.027501,1014603893126,29,538,1000546,46,32.0,-7.84375,-27.0,538,538,0,0,1
11.027501,1014603893126,12,549,1000558,50,23.5,-10.9375,-27.25,549,549,0,0,1
11.027501,1014603893126,20,554,1000563,56,81.75,-3.75,-27.25,554,554,0,0,1
11.027501,1014603893126,30,555,1000564,57,42.25,3.78125,-0.5,555,555,0,0,1
11.027501,1014603893126,1,561,1000570,77,88.75,-3.625,-27.25,561,561,0,0,1
11.125726,1014702118762,16,4,1000003,35,39.25,2.15625,-1.0,4,4,0,1,1
11.125726,1014702118762,23,383,1000386,74,26.75,-2.75,-5.25,383,383,0,0,1
11.125726,1014702118762,8,459,1000467,53,92.0,-10.59375,-4.0,459,459,0,0,1
11.125726,1014702118762,2,489,1000497,61,91.0,7.25,-1.5,489,489,0,0,1
11.125726,1014702118762,11,517,1000525,85,92.75,4.09375,-3.75,517,517,0,0,1
11.125726,1014702118762,29,538,1000546,46,29.5,-7.9375,-27.0,538,538,0,0,1
11.125726,1014702118762,20,554,1000563,56,79.25,-4.03125,-27.25,554,554,0,0,1
11.125726,1014702118762,1,561,1000570,77,86.25,-3.78125,-27.25,561,561,0,0,1
11.125726,1014702118762,3,562,1000571,45,92.0,11.75,-3.25,562,562,0,0,1
11.125726,1014702118762,4,563,1000572,89,35.0,4.03125,-27.0,563,563,0,0,1
11.125726,1014702118762,5,564,1000573,60,95.25,-2.15625,-27.0,564,564,0,0,1
11.226404,1014802796677,16,4,1000003,35,39.25,2.28125,-1.0,4,4,0,1,1
11.226404,1014802796677,23,383,1000386,74,26.25,-2.96875,-5.25,383,383,0,0,1
11.226404,1014802796677,8,459,1000467,53,91.75,-10.75,-4.0,459,459,0,0,1
11.226404,1014802796677,2,489,1000497,61,91.0,7.34375,-1.5,489,489,0,0,1
11.226404,1014802796677,11,517,1000525,85,92.5,3.21875,-3.75,517,517,0,0,1
11.226404,1014802796677,29,538,1000546,46,27.25,-8.03125,-27.0,538,538,0,0,1
11.226404,1014802796677,20,554,1000563,56,77.0,-4.25,-27.25,554,554,0,0,1
11.226404,1014802796677,1,561,1000570,77,84.25,-4.09375,-27.25,561,561,0,0,1
11.226404,1014802796677,3,562,1000571,45,92.0,11.125,-3.25,562,562,0,0,1
11.226404,1014802796677,4,563,1000572,89,33.0,3.9375,-27.0,563,563,0,0,1
11.226404,1014802796677,5,564,1000573,60,93.0,-2.4375,-27.0,564,564,0,0,1
11.226404,1014802796677,6,565,1000574,49,40.75,6.84375,-0.75,565,565,0,0,1
11.226404,1014802796677,7,566,1000575,84,41.5,7.8125,-0.5,566,566,0,0,1
11.326306,1014902698649,16,4,1000003,35,39.0,2.34375,-1.0,4,4,0,1,1
11.326306,1014902698649,23,383,1000386,74,25.75,-2.96875,-5.25,383,383,0,0,1
11.326306,1014902698649,8,459,1000467,53,91.5,-10.9375,-4.0,459,459,0,0,1
11.326306,1014902698649,2,489,1000497,61,90.75,7.375,-1.5,489,489,0,0,1
11.326306,1014902698649,11,517,1000525,85,92.25,2.9375,-3.75,517,517,0,0,1
11.326306,1014902698649,20,554,1000563,56,74.5,-4.625,-27.25,554,554,0,0,1
11.326306,1014902698649,1,561,1000570,77,81.5,-4.40625,-27.25,561,561,0,0,1
11.326306,1014902698649,4,563,1000572,89,30.5,3.71875,-26.75,563,563,0,0,1
11.326306,1014902698649,6,565,1000574,49,40.25,6.46875,-0.5,565,565,0,0,1
11.426269,1015002661383,16,4,1000003,35,39.0,2.0625,-1.0,4,4,0,1,1
11.426269,1015002661383,23,383,1000386,74,25.5,-2.90625,-5.25,383,383,0,0,1
11.426269,1015002661383,8,459,1000467,53,91.25,-9.46875,-4.0,459,459,0,0,1
11.426269,1015002661383,2,489,1000497,61,90.5,7.28125,-1.5,489,489,0,0,1
11.426269,1015002661383,11,517,1000525,85,91.75,2.90625,-3.75,517,517,0,0,1
11.426269,1015002661383,20,554,1000563,56,72.25,-5.1875,-27.25,554,554,0,0,1
11.426269,1015002661383,1,561,1000570,77,79.25,-4.65625,-27.25,561,561,0,0,1
11.426269,1015002661383,9,562,1000571,45,91.25,10.1875,-2.0,562,562,0,0,1
11.426269,1015002661383,4,563,1000572,89,28.25,3.625,-26.75,563,563,0,0,1
11.426269,1015002661383,13,564,1000573,60,88.25,-3.1875,-27.25,564,564,0,0,1
11.426269,1015002661383,6,565,1000574,49,42.25,6.28125,-0.5,565,565,0,0,1
11.426269,1015002661383,14,566,1000575,84,43.0,7.125,-0.25,566,566,0,0,1
11.426269,1015002661383,10,567,1000576,65,91.25,-7.40625,-4.0,567,567,0,0,1
11.426269,1015002661383,12,568,1000577,43,55.75,5.75,-26.75,568,568,0,0,1
11.526271,1015102663583,16,4,1000003,35,39.0,1.96875,-1.0,4,4,0,1,1
11.526271,1015102663583,23,383,1000386,74,25.0,-2.875,-5.25,383,383,0,0,1
11.526271,1015102663583,8,459,1000467,53,91.0,-9.5625,-4.0,459,459,0,0,1
11.526271,1015102663583,2,489,1000497,61,90.5,7.25,-1.5,489,489,0,0,1
11.526271,1015102663583,11,517,1000525,85,91.5,2.1875,-3.75,517,517,0,0,1
11.526271,1015102663583,20,554,1000563,56,69.75,-5.4375,-27.25,554,554,0,0,1
11.526271,1015102663583,1,561,1000570,77,76.75,-4.9375,-27.25,561,561,0,0,1
11.526271,1015102663583,4,563,1000572,89,25.75,3.53125,-26.75,563,563,0,0,1
11.526271,1015102663583,13,564,1000573,60,85.75,-3.5,-27.25,564,564,0,0,1
11.526271,1015102663583,12,568,1000577,43,53.0,5.3125,-27.0,568,568,0,0,1
11.526271,1015102663583,15,569,1000578,39,91.25,-1.0625,-3.75,569,569,0,0,1
11.626651,1015203043783,16,4,1000003,35,38.75,2.125,-0.75,4,4,0,1,1
11.626651,1015203043783,23,383,1000386,74,24.0,-2.90625,-5.5,383,383,0,0,1
11.626651,1015203043783,2,489,1000497,61,90.25,7.09375,-1.5,489,489,0,0,1
11.626651,1015203043783,11,517,1000525,85,90.5,1.65625,-3.75,517,517,0,0,1
11.626651,1015203043783,20,554,1000563,56,65.0,-5.8125,-27.0,554,554,0,0,1
11.626651,1015203043783,1,561,1000570,77,72.25,-5.375,-27.0,561,561,0,0,1
11.626651,1015203043783,4,563,1000572,89,21.25,3.375,-26.75,563,563,0,0,1
11.626651,1015203043783,13,564,1000573,60,81.0,-3.8125,-27.0,564,564,0,0,1
11.626651,1015203043783,12,568,1000577,43,48.5,5.0,-26.75,568,568,0,0,1
11.72581,1015302202823,16,4,1000003,35,38.75,2.0,-0.75,4,4,0,1,1
11.72581,1015302202823,23,383,1000386,74,23.5,-2.90625,-5.5,383,383,0,0,1
11.72581,1015302202823,2,489,1000497,61,90.0,6.96875,-1.5,489,489,0,0,1
11.72581,1015302202823,11,517,1000525,85,90.0,1.15625,-3.75,517,517,0,0,1
11.72581,1015302202823,20,554,1000563,56,62.75,-6.03125,-27.0,554,554,0,0,1
11.72581,1015302202823,1,561,1000570,77,69.75,-5.59375,-27.0,561,561,0,0,1
11.72581,1015302202823,13,564,1000573,60,78.5,-3.96875,-27.0,564,564,0,0,1
11.72581,1015302202823,17,565,1000574,49,42.25,5.90625,-0.5,565,565,0,0,1
11.72581,1015302202823,12,568,1000577,43,46.25,4.78125,-26.75,568,568,0,0,1
11.826407,1015402799567,16,4,1000003,35,38.5,2.09375,-0.75,4,4,0,1,1
11.826407,1015402799567,23,383,1000386,74,23.0,-3.0,-5.5,383,383,0,0,1
