segment_s,scan_ns,slot,raw_id,physical_pid,public_id,d_rel_m,y_rel_m,v_rel_mps,members,representative,camera,oem,published
29.087866,6850991067025,9,10,1000009,41,79.75,-1.15625,0.0,10,10,0,1,1
29.087866,6850991067025,27,1118,1001215,48,14.5,-3.09375,-5.25,1118,1118,1,0,1
29.087866,6850991067025,16,1366,1001490,34,68.75,-3.6875,-4.5,1366,1366,0,0,1
29.087866,6850991067025,11,1527,1001664,50,34.25,2.875,-29.25,1527,1527,0,0,1
29.087866,6850991067025,10,1545,1001684,54,22.75,-3.0,-5.25,1545,1545,0,0,0
29.087866,6850991067025,22,1549,1001688,59,103.25,-2.375,-0.25,1549,1549,0,0,1
29.087866,6850991067025,24,1554,1001693,51,27.75,3.1875,-29.25,1554,1554,0,0,1
29.087866,6850991067025,30,1558,1001697,63,107.0,1.71875,-29.25,1558,1558,0,0,1
29.087866,6850991067025,25|31,1555|1559,1001698,67,22.0,2.96875,-29.75,1555|1559,1559,0,0,1
29.087866,6850991067025,8,1560,1001699,92,56.0,2.5625,-29.5,1560,1560,0,0,1
29.087866,6850991067025,2,1561,1001700,42,46.25,2.9375,-29.25,1561,1561,0,0,1
29.087866,6850991067025,6,1562,1001701,86,55.25,2.5,-29.0,1562,1562,0,0,1
29.087866,6850991067025,5,1563,1001702,77,50.25,2.6875,-29.25,1563,1563,0,0,1
29.087866,6850991067025,7,1564,1001703,55,40.5,3.125,-29.25,1564,1564,0,0,1
29.18629,6851089490320,9,10,1000009,41,79.75,-1.15625,0.0,10,10,0,1,1
29.18629,6851089490320,27,1118,1001215,48,14.0,-3.0625,-5.25,1118,1118,1,0,1
29.18629,6851089490320,16,1366,1001490,34,68.5,-3.4375,-4.5,1366,1366,0,0,1
29.18629,6851089490320,11,1527,1001664,50,31.0,2.90625,-29.25,1527,1527,0,0,1
29.18629,6851089490320,10,1545,1001684,54,22.0,-3.03125,-5.25,1545,1545,0,0,0
29.18629,6851089490320,22,1549,1001688,59,103.25,-2.4375,-0.25,1549,1549,0,0,1
29.18629,6851089490320,24,1554,1001693,51,24.5,3.21875,-29.25,1554,1554,0,0,1
29.18629,6851089490320,30,1558,1001697,63,104.0,1.78125,-29.25,1558,1558,0,0,1
29.18629,6851089490320,25|31,1555|1559,1001698,67,19.0,2.96875,-29.75,1555|1559,1559,0,0,1
29.18629,6851089490320,8,1560,1001699,92,53.0,2.625,-29.5,1560,1560,0,0,1
29.18629,6851089490320,2,1561,1001700,42,43.0,2.90625,-29.25,1561,1561,0,0,1
29.18629,6851089490320,5,1563,1001702,77,47.0,2.71875,-29.25,1563,1563,0,0,1
29.285901,6851189101581,9,10,1000009,41,79.75,-1.125,0.0,10,10,0,1,1
29.285901,6851189101581,27,1118,1001215,48,13.5,-3.0625,-5.5,1118,1118,1,0,1
29.285901,6851189101581,16,1366,1001490,34,68.0,-3.40625,-4.5,1366,1366,0,0,1
29.285901,6851189101581,11,1527,1001664,50,28.25,2.9375,-29.5,1527,1527,0,0,1
29.285901,6851189101581,10,1545,1001684,54,21.25,-3.125,-5.25,1545,1545,1,0,0
29.285901,6851189101581,22,1549,1001688,59,103.25,-2.40625,-0.25,1549,1549,0,0,1
29.285901,6851189101581,24,1554,1001693,51,21.75,3.21875,-29.25,1554,1554,0,0,1
29.285901,6851189101581,30,1558,1001697,63,101.25,1.96875,-29.5,1558,1558,0,0,1
29.285901,6851189101581,25|31,1555|1559,1001698,67,16.0,2.96875,-30.0,1555|1559,1559,0,0,1
29.285901,6851189101581,8,1560,1001699,92,50.25,2.625,-29.5,1560,1560,0,0,1
29.285901,6851189101581,2,1561,1001700,42,40.25,2.875,-29.5,1561,1561,0,0,1
29.285901,6851189101581,5,1563,1001702,77,44.25,2.78125,-29.5,1563,1563,0,0,1
29.285901,6851189101581,12,1565,1001704,47,24.25,3.3125,-29.5,1565,1565,0,0,1
29.386668,6851289868845,9,10,1000009,41,79.75,-1.25,0.0,10,10,0,1,1
29.386668,6851289868845,27,1118,1001215,48,13.0,-3.0625,-5.5,1118,1118,1,0,1
29.386668,6851289868845,16,1366,1001490,34,67.5,-3.5625,-4.75,1366,1366,0,0,1
29.386668,6851289868845,11,1527,1001664,50,25.25,3.09375,-29.5,1527,1527,0,0,1
29.386668,6851289868845,10,1545,1001684,54,20.75,-3.15625,-5.25,1545,1545,1,0,0
29.386668,6851289868845,22,1549,1001688,59,103.25,-2.46875,-0.25,1549,1549,0,0,1
29.386668,6851289868845,30,1558,1001697,63,98.25,2.03125,-29.5,1558,1558,0,0,1
29.386668,6851289868845,25|31,1555|1559,1001698,67,13.0,2.9375,-30.0,1555|1559,1559,0,0,1
29.386668,6851289868845,14,1560,1001699,92,50.75,2.5,-29.5,1560,1560,0,0,1
29.386668,6851289868845,2,1561,1001700,42,37.25,2.84375,-29.5,1561,1561,0,0,1
29.386668,6851289868845,8,1562,1001701,86,47.25,2.625,-29.5,1562,1562,0,0,1
29.386668,6851289868845,5,1563,1001702,77,41.25,2.8125,-29.5,1563,1563,0,0,1
29.386668,6851289868845,13,1564,1001703,55,29.25,3.125,-29.5,1564,1564,0,0,1
29.486449,6851389649510,9,10,1000009,41,79.75,-1.0625,0.0,10,10,0,1,1
29.486449,6851389649510,27,1118,1001215,48,12.5,-3.03125,-5.5,1118,1118,1,0,1
29.486449,6851389649510,16,1366,1001490,34,67.0,-3.40625,-4.75,1366,1366,0,0,1
29.486449,6851389649510,11,1527,1001664,50,22.75,3.15625,-29.5,1527,1527,0,0,1
29.486449,6851389649510,10,1545,1001684,54,20.0,-3.15625,-5.25,1545,1545,1,0,0
29.486449,6851389649510,22,1549,1001688,59,103.0,-2.4375,-0.5,1549,1549,0,0,1
29.486449,6851389649510,30,1558,1001697,63,95.5,1.9375,-29.5,1558,1558,0,0,1
29.486449,6851389649510,25,1555,1001698,67,12.75,3.3125,-29.75,1555,1555,0,0,1
29.486449,6851389649510,14,1560,1001699,92,48.0,2.5,-29.5,1560,1560,0,0,1
29.486449,6851389649510,2,1561,1001700,42,34.75,2.96875,-29.5,1561,1561,0,0,1
29.486449,6851389649510,8,1562,1001701,86,44.75,2.65625,-29.5,1562,1562,0,0,1
29.486449,6851389649510,5,1563,1001702,77,38.75,2.96875,-29.75,1563,1563,0,0,1
29.486449,6851389649510,13,1564,1001703,55,26.75,3.125,-29.5,1564,1564,0,0,1
29.486449,6851389649510,15,1565,1001704,47,18.75,3.25,-29.5,1565,1565,0,0,1
29.486449,6851389649510,17,1566,1001705,90,51.0,2.65625,-29.5,1566,1566,0,0,1
29.585723,6851488923794,9,10,1000009,41,79.75,-0.78125,0.0,10,10,0,1,1
29.585723,6851488923794,27,1118,1001215,48,12.0,-3.03125,-5.75,1118,1118,1,0,1
29.585723,6851488923794,16,1366,1001490,34,66.75,-3.5,-4.75,1366,1366,0,0,1
29.585723,6851488923794,11,1527,1001664,50,19.5,3.125,-29.5,1527,1527,0,0,1
29.585723,6851488923794,10,1545,1001684,54,19.75,-3.125,-5.25,1545,1545,0,0,1
29.585723,6851488923794,22,1549,1001688,59,103.0,-2.34375,-0.5,1549,1549,0,0,1
29.585723,6851488923794,30,1558,1001697,63,92.75,2.03125,-29.5,1558,1558,0,0,1
29.585723,6851488923794,25,1555,1001698,67,9.75,3.34375,-29.75,1555,1555,0,0,1
29.585723,6851488923794,14,1560,1001699,92,44.75,2.71875,-29.5,1560,1560,0,0,1
29.585723,6851488923794,2,1561,1001700,42,31.75,2.875,-29.75,1561,1561,0,0,1
29.585723,6851488923794,8,1562,1001701,86,41.75,2.6875,-29.75,1562,1562,0,0,1
29.585723,6851488923794,5,1563,1001702,77,35.75,3.03125,-29.75,1563,1563,0,0,1
29.585723,6851488923794,13,1564,1001703,55,24.25,3.125,-29.5,1564,1564,0,0,1
29.585723,6851488923794,15,1565,1001704,47,15.75,3.21875,-29.5,1565,1565,0,0,1
29.585723,6851488923794,17,1566,1001705,90,48.0,2.71875,-29.5,1566,1566,0,0,1
29.685912,6851589112713,9,10,1000009,41,79.75,-0.90625,0.0,10,10,0,1,1
29.685912,6851589112713,27,1118,1001215,48,11.5,-3.0,-5.75,1118,1118,1,0,1
29.685912,6851589112713,16,1366,1001490,34,66.25,-3.625,-4.5,1366,1366,0,0,1
29.685912,6851589112713,11,1527,1001664,50,17.0,3.15625,-29.5,1527,1527,0,0,1
29.685912,6851589112713,10,1545,1001684,54,19.0,-3.15625,-5.25,1545,1545,0,0,1
29.685912,6851589112713,22,1549,1001688,59,103.0,-2.65625,-0.5,1549,1549,0,0,1
29.685912,6851589112713,30,1558,1001697,63,90.0,2.15625,-29.5,1558,1558,0,0,1
29.685912,6851589112713,25,1555,1001698,67,7.0,3.25,-29.75,1555,1555,0,0,1
29.685912,6851589112713,14,1560,1001699,92,41.75,2.8125,-29.5,1560,1560,0,0,1
29.685912,6851589112713,2,1561,1001700,42,29.25,2.84375,-29.75,1561,1561,0,0,1
29.685912,6851589112713,8,1562,1001701,86,39.0,2.75,-29.75,1562,1562,0,0,1
29.685912,6851589112713,5,1563,1001702,77,33.0,3.125,-29.75,1563,1563,0,0,1
29.685912,6851589112713,13,1564,1001703,55,21.5,3.125,-29.5,1564,1564,0,0,1
29.685912,6851589112713,17,1566,1001705,90,45.25,2.875,-29.25,1566,1566,0,0,1
29.786374,6851689574549,9,10,1000009,41,79.75,-0.75,0.0,10,10,0,1,1
29.786374,6851689574549,27,1118,1001215,48,10.75,-3.0,-5.75,1118,1118,1,0,1
29.786374,6851689574549,16,1366,1001490,34,65.5,-3.65625,-4.5,1366,1366,0,0,1
29.786374,6851689574549,11,1527,1001664,50,13.25,3.15625,-29.75,1527,1527,0,0,1
29.786374,6851689574549,10,1545,1001684,54,18.25,-3.4375,-5.25,1545,1545,1,0,1
29.786374,6851689574549,22,1549,1001688,59,103.0,-2.65625,-0.75,1549,1549,0,0,1
29.786374,6851689574549,30,1558,1001697,63,86.25,2.09375,-29.75,1558,1558,0,0,1
29.786374,6851689574549,8|14,1560|1562,1001699,92,38.25,2.875,-29.75,1560|1562,1560,0,0,1
29.786374,6851689574549,2,1561,1001700,42,26.0,2.90625,-29.75,1561,1561,0,0,1
29.786374,6851689574549,5,1563,1001702,77,29.25,3.15625,-29.5,1563,1563,0,0,1
29.786374,6851689574549,13,1564,1001703,55,17.75,3.125,-29.5,1564,1564,0,0,1
29.786374,6851689574549,17,1566,1001705,90,41.75,2.96875,-29.25,1566,1566,0,0,1
29.886422,6851789622454,9,10,1000009,41,79.75,-0.375,0.0,10,10,0,1,1
29.886422,6851789622454,16,1366,1001490,34,65.25,-3.46875,-4.75,1366,1366,0,0,1
