key,candidate,scans,baseline_fractures,suppressed_fractures,grouping_changed_scans,member_count_changed_scans,new_merge_objects,new_split_objects,new_merge_episodes,persistent_new_merges,publication_changed_scans,representative_changes,pid_births,relaxed_edge_scans,state_peak,cpu_mean_us,cpu_p95_us,cpu_p99_us,cpu_max_us
00000243--a4d9c0a5dd--0,A_HYSTERESIS,621,41,19,41,22,44,38,22,2,517,62,506,28,40,177.49409582190674,1168.9599999999998,1867.2199999999996,64372.4
00000245--2c15eb5d45--12,A_HYSTERESIS,600,8,3,4,4,4,0,3,0,159,39,426,4,10,123.43065644785057,689.895,1171.3229999999983,50442.4
00000245--2c15eb5d45--19,A_HYSTERESIS,600,34,22,27,24,28,10,22,2,452,131,858,40,36,192.37398766872158,1370.7,2124.3,62425.3
00000245--2c15eb5d45--21,A_HYSTERESIS,600,46,31,31,17,40,25,34,2,590,167,810,36,50,220.26541152949022,1553.7,2833.331999999999,57958.7
00000245--2c15eb5d45--32,A_HYSTERESIS,600,14,6,9,7,9,2,6,1,421,27,340,12,30,133.5772447109776,781.4499999999998,1300.4799999999952,46898.7
00000245--2c15eb5d45--7,A_HYSTERESIS,600,26,2,2,2,2,0,2,0,543,172,758,3,30,152.31201866977824,986.5399999999986,1586.0239999999947,52548.6
00000247--b657952782--0,A_HYSTERESIS,619,109,55,102,82,125,68,63,8,616,111,905,99,50,190.60245557350606,1349.3149999999962,2002.342999999993,59356.7
00000247--b657952782--1,A_HYSTERESIS,600,98,48,91,68,117,78,60,10,568,135,868,86,48,188.53868978162998,1390.8399999999965,1950.0139999999926,64108.0
00000247--b657952782--10,A_HYSTERESIS,600,8,5,5,5,5,0,5,0,551,6,220,6,18,119.35048349449816,664.2299999999999,972.3319999999989,68622.1
00000247--b657952782--11,A_HYSTERESIS,600,17,11,11,11,11,0,11,0,496,10,188,15,38,137.16447850716392,768.0449999999998,1011.499,74885.8
00000247--b657952782--12,A_HYSTERESIS,600,21,11,15,14,16,3,14,0,558,39,384,25,42,138.02335778592857,806.8349999999997,1290.7299999999998,71093.1
00000247--b657952782--13,A_HYSTERESIS,600,8,4,10,2,10,8,4,1,88,76,654,4,30,177.51178726242114,1148.1749999999997,1820.5509999999995,92412.5
00000247--b657952782--14,A_HYSTERESIS,600,29,15,25,23,27,8,20,1,523,36,564,30,20,174.31042811927367,1116.949999999998,1887.9879999999998,76341.4
00000247--b657952782--15,A_HYSTERESIS,600,17,3,20,11,24,23,4,3,370,49,659,4,28,166.85489411372342,1021.9399999999998,1816.9599999999998,79786.9
00000247--b657952782--16,A_HYSTERESIS,600,3,2,2,2,2,0,2,0,353,36,540,2,16,154.40511666666688,940.1100000000004,1425.243000000001,61648.8
00000247--b657952782--17,A_HYSTERESIS,600,11,4,5,4,5,1,4,0,452,118,599,7,40,159.90579999999966,1040.3950000000002,1900.2100000000003,75218.8
00000247--b657952782--18,A_HYSTERESIS,600,17,10,15,13,15,4,10,1,524,60,751,16,12,149.27327887981295,900.0299999999983,1348.6999999999953,93272.9
00000247--b657952782--19,A_HYSTERESIS,600,25,11,14,14,14,2,11,0,479,62,809,14,14,162.28721453575585,1028.759999999999,1624.1159999999973,88871.5
00000247--b657952782--2,A_HYSTERESIS,599,64,25,32,23,35,9,25,1,562,80,751,40,26,162.759906604403,1055.875,1704.400000000001,92233.3
00000247--b657952782--20,A_HYSTERESIS,600,18,13,15,12,15,3,14,0,403,99,618,21,22,148.15520000000035,878.3650000000001,1318.2270000000008,97580.6
00000247--b657952782--21,A_HYSTERESIS,600,15,6,9,4,9,5,6,1,384,62,515,7,14,139.89021992669115,733.7599999999998,1541.1169999999984,89053.6
00000247--b657952782--22,A_HYSTERESIS,600,45,28,35,22,41,20,29,4,537,74,667,39,32,159.3949816605539,968.1399999999994,1524.5209999999975,102194.4
00000247--b657952782--23,A_HYSTERESIS,600,18,7,7,7,7,0,7,0,202,37,464,9,32,145.72024662556242,641.5,1495.4,101449.3
00000247--b657952782--24,A_HYSTERESIS,600,28,5,9,4,9,6,5,1,541,251,732,11,48,248.24283333333267,1674.3600000000001,3128.2090000000003,100478.2
00000247--b657952782--25,A_HYSTERESIS,600,34,4,4,3,4,1,4,0,125,293,753,7,42,219.0218036339395,1378.0299999999982,2733.4759999999983,113434.1
00000247--b657952782--26,A_HYSTERESIS,600,21,3,4,4,4,0,3,0,95,196,833,4,44,189.2997666277712,1187.6099999999972,2082.806,124316.1
00000247--b657952782--27,A_HYSTERESIS,600,42,5,6,5,6,1,5,0,263,248,752,11,48,223.05247458756926,1458.7,2806.3,122132.0
00000247--b657952782--28,A_HYSTERESIS,600,18,4,13,9,13,20,4,1,493,180,738,11,22,173.82522507502526,1063.33,1620.692999999999,113826.7
00000247--b657952782--29,A_HYSTERESIS,600,9,4,5,5,5,0,4,0,519,136,685,7,24,151.41356440593188,931.0,1600.1,94800.2
00000247--b657952782--3,A_HYSTERESIS,600,19,9,13,13,13,2,10,1,558,34,293,17,22,139.46851574212891,623.1999999999992,1569.5959999999977,112955.2
00000247--b657952782--30,A_HYSTERESIS,599,8,4,4,2,4,2,4,0,19,57,497,6,24,129.86902300766909,675.394999999998,1064.4379999999987,136881.5
00000247--b657952782--31,A_HYSTERESIS,600,20,7,16,15,16,13,9,1,590,139,511,14,54,176.34146951016348,1078.1899999999994,2127.6669999999904,116026.5
00000247--b657952782--32,A_HYSTERESIS,599,7,2,5,2,7,5,3,1,161,83,655,4,32,222.69470000000095,1433.01,2640.033000000014,127494.4
00000247--b657952782--33,A_HYSTERESIS,599,18,12,17,14,17,3,12,1,134,34,392,21,30,168.0748041993002,861.0,1976.3,136526.2
00000247--b657952782--34,A_HYSTERESIS,599,2,1,1,0,1,1,1,0,1,5,198,3,26,117.14323333333347,702.5300000000001,1061.4860000000065,3233.4
00000247--b657952782--35,A_HYSTERESIS,599,23,11,22,17,24,12,14,3,531,36,411,17,26,150.9771371438093,720.0,1608.6,137087.4
00000247--b657952782--36,A_HYSTERESIS,599,14,5,7,5,7,2,6,0,515,43,415,5,18,166.78980169971658,1028.3,1626.1,139735.2
00000247--b657952782--37,A_HYSTERESIS,599,7,3,6,6,6,0,4,1,50,20,237,7,22,129.3262666666668,565.8100000000005,1095.543000000001,129218.6
00000247--b657952782--38,A_HYSTERESIS,599,48,28,42,26,48,27,31,3,538,77,866,42,42,199.81203132811163,1271.6,2009.6,141685.3
00000247--b657952782--39,A_HYSTERESIS,585,67,15,32,22,40,21,25,3,555,38,455,47,46,183.7822369539351,1098.8599999999994,1665.166000000007,138763.7
