population,metric,value
ALL_MULTI_RETURN_EPISODES,episodes,89921
ALL_MULTI_RETURN_EPISODES,three_plus_member_episodes,7797
ALL_MULTI_RETURN_EPISODES,representative_switch_episodes,15326
STABLE_MECHANICAL_CONTROLS,episodes,500
STABLE_MECHANICAL_CONTROLS,three_plus_member_episodes,38
FROZEN_SAME_CONTROLS,controls,41
FROZEN_SAME_CONTROLS,multi_return_episode_matches,0
ALL_MULTI_RETURN_EPISODES,member_count_count,89921
ALL_MULTI_RETURN_EPISODES,member_count_p50,2.0
ALL_MULTI_RETURN_EPISODES,member_count_p95,3.0
ALL_MULTI_RETURN_EPISODES,member_count_p99,3.0
ALL_MULTI_RETURN_EPISODES,member_count_max,7.0
ALL_MULTI_RETURN_EPISODES,max_d_extent_count,89921
ALL_MULTI_RETURN_EPISODES,max_d_extent_p50,2.0
ALL_MULTI_RETURN_EPISODES,max_d_extent_p95,3.0
ALL_MULTI_RETURN_EPISODES,max_d_extent_p99,3.0
ALL_MULTI_RETURN_EPISODES,max_d_extent_max,3.0
ALL_MULTI_RETURN_EPISODES,max_y_extent_count,89921
ALL_MULTI_RETURN_EPISODES,max_y_extent_p50,0.5
ALL_MULTI_RETURN_EPISODES,max_y_extent_p95,1.40625
ALL_MULTI_RETURN_EPISODES,max_y_extent_p99,1.5
ALL_MULTI_RETURN_EPISODES,max_y_extent_max,1.5
ALL_MULTI_RETURN_EPISODES,max_v_spread_count,89921
ALL_MULTI_RETURN_EPISODES,max_v_spread_p50,0.25
ALL_MULTI_RETURN_EPISODES,max_v_spread_p95,0.75
ALL_MULTI_RETURN_EPISODES,max_v_spread_p99,1.25
ALL_MULTI_RETURN_EPISODES,max_v_spread_max,1.5
ALL_MULTI_RETURN_EPISODES,duration_s_count,89921
ALL_MULTI_RETURN_EPISODES,duration_s_p50,0.300385896
ALL_MULTI_RETURN_EPISODES,duration_s_p95,2.699663294
ALL_MULTI_RETURN_EPISODES,duration_s_p99,5.3000382838
ALL_MULTI_RETURN_EPISODES,duration_s_max,59.719989493
STABLE_MECHANICAL_CONTROLS,member_count_count,500
STABLE_MECHANICAL_CONTROLS,member_count_p50,2.0
STABLE_MECHANICAL_CONTROLS,member_count_p95,3.0
STABLE_MECHANICAL_CONTROLS,member_count_p99,3.0
STABLE_MECHANICAL_CONTROLS,member_count_max,4.0
STABLE_MECHANICAL_CONTROLS,max_d_extent_count,500
STABLE_MECHANICAL_CONTROLS,max_d_extent_p50,2.25
STABLE_MECHANICAL_CONTROLS,max_d_extent_p95,3.0
STABLE_MECHANICAL_CONTROLS,max_d_extent_p99,3.0
STABLE_MECHANICAL_CONTROLS,max_d_extent_max,3.0
STABLE_MECHANICAL_CONTROLS,max_y_extent_count,500
STABLE_MECHANICAL_CONTROLS,max_y_extent_p50,0.65625
STABLE_MECHANICAL_CONTROLS,max_y_extent_p95,1.34375
STABLE_MECHANICAL_CONTROLS,max_y_extent_p99,1.4690624999999997
STABLE_MECHANICAL_CONTROLS,max_y_extent_max,1.5
STABLE_MECHANICAL_CONTROLS,max_v_spread_count,500
STABLE_MECHANICAL_CONTROLS,max_v_spread_p50,0.25
STABLE_MECHANICAL_CONTROLS,max_v_spread_p95,0.5
STABLE_MECHANICAL_CONTROLS,max_v_spread_p99,1.0
STABLE_MECHANICAL_CONTROLS,max_v_spread_max,1.25
STABLE_MECHANICAL_CONTROLS,duration_s_count,500
STABLE_MECHANICAL_CONTROLS,duration_s_p50,8.904407452000001
STABLE_MECHANICAL_CONTROLS,duration_s_p95,42.04632402185
STABLE_MECHANICAL_CONTROLS,duration_s_p99,59.59923816297
STABLE_MECHANICAL_CONTROLS,duration_s_max,59.719989493
FROZEN_SAME_MATCHED_EPISODES,member_count_count,0
FROZEN_SAME_MATCHED_EPISODES,member_count_p50,
FROZEN_SAME_MATCHED_EPISODES,member_count_p95,
FROZEN_SAME_MATCHED_EPISODES,member_count_p99,
FROZEN_SAME_MATCHED_EPISODES,member_count_max,
FROZEN_SAME_MATCHED_EPISODES,max_d_extent_count,0
FROZEN_SAME_MATCHED_EPISODES,max_d_extent_p50,
FROZEN_SAME_MATCHED_EPISODES,max_d_extent_p95,
FROZEN_SAME_MATCHED_EPISODES,max_d_extent_p99,
FROZEN_SAME_MATCHED_EPISODES,max_d_extent_max,
FROZEN_SAME_MATCHED_EPISODES,max_y_extent_count,0
FROZEN_SAME_MATCHED_EPISODES,max_y_extent_p50,
FROZEN_SAME_MATCHED_EPISODES,max_y_extent_p95,
FROZEN_SAME_MATCHED_EPISODES,max_y_extent_p99,
FROZEN_SAME_MATCHED_EPISODES,max_y_extent_max,
FROZEN_SAME_MATCHED_EPISODES,max_v_spread_count,0
FROZEN_SAME_MATCHED_EPISODES,max_v_spread_p50,
FROZEN_SAME_MATCHED_EPISODES,max_v_spread_p95,
FROZEN_SAME_MATCHED_EPISODES,max_v_spread_p99,
FROZEN_SAME_MATCHED_EPISODES,max_v_spread_max,
FROZEN_SAME_MATCHED_EPISODES,duration_s_count,0
FROZEN_SAME_MATCHED_EPISODES,duration_s_p50,
FROZEN_SAME_MATCHED_EPISODES,duration_s_p95,
FROZEN_SAME_MATCHED_EPISODES,duration_s_p99,
FROZEN_SAME_MATCHED_EPISODES,duration_s_max,
