family_id,key,route,segment,raw_pair,parent_member_sets,split_count,rejoin_count,median_split_interval_s,max_split_interval_s,median_rejoin_latency_s,pid_births,representative_retained,boundary_causes,publication_visible,internal_only
00000243--a4d9c0a5dd--0:126|127,00000243--a4d9c0a5dd--0,00000243,0,126|127,126|127,3,2,0.845125319,0.990434957,0.6452184385,1,3,"{""DISTANCE_DIAMETER"":3}",3,0
00000243--a4d9c0a5dd--0:132|188,00000243--a4d9c0a5dd--0,00000243,0,132|188,132|188|190,3,2,1.1998776604999999,1.200223169,0.699153121,1,0,"{""DISTANCE_DIAMETER"":3}",3,0
00000243--a4d9c0a5dd--0:291|293,00000243--a4d9c0a5dd--0,00000243,0,291|293,291|293,2,2,0.299706549,0.299706549,0.1497348455,1,1,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":1}",2,0
00000243--a4d9c0a5dd--0:74|75,00000243--a4d9c0a5dd--0,00000243,0,74|75,74|75,2,2,1.499587208,1.499587208,0.6504727175,1,1,"{""DISTANCE_DIAMETER"":1,""LATERAL_GROWTH"":1}",2,0
00000243--a4d9c0a5dd--0:93|123,00000243--a4d9c0a5dd--0,00000243,0,93|123,93|123,2,1,0.401552794,0.401552794,0.2994917,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
00000245--2c15eb5d45--19:407|421,00000245--2c15eb5d45--19,00000245,19,407|421,407|421,3,2,1.450220883,2.299737925,0.4002817535,2,3,"{""DISTANCE_DIAMETER"":3}",3,0
00000245--2c15eb5d45--19:433|441,00000245--2c15eb5d45--19,00000245,19,433|441,433|441,2,2,0.399791433,0.399791433,0.3011778125,2,2,"{""DISTANCE_DIAMETER"":2}",2,0
00000245--2c15eb5d45--19:536|538,00000245--2c15eb5d45--19,00000245,19,536|538,536|538;536|538|576,3,2,0.7998718890000001,0.800223519,0.2499353425,2,2,"{""DISTANCE_GROWTH"":1,""LATERAL_GROWTH"":2}",3,0
00000245--2c15eb5d45--19:536|576,00000245--2c15eb5d45--19,00000245,19,536|576,536|576,3,2,0.7002655240000001,1.199758357,0.1496337085,2,2,"{""DISTANCE_DIAMETER"":1,""DISTANCE_GROWTH"":2}",3,0
00000245--2c15eb5d45--19:579|583,00000245--2c15eb5d45--19,00000245,19,579|583,579|583,2,1,0.999463589,0.999463589,0.800416115,0,1,"{""DISTANCE_DIAMETER"":2}",2,0
