event_id,key,route,segment,split_scan,split_ns,parent_pid,child_pid,child_members,prior_pid,overlap,representative_retained,overlap_term,representative_term,age_term,pid_tiebreak_term,score,winner
00000243--a4d9c0a5dd--0:99:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,99,167402860916,1000073,1000073,75,1000073,1,0,10,0,0.00019,9.999260054755948e-07,10.000190999926005,1
00000243--a4d9c0a5dd--0:99:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,99,167402860916,1000073,1000083,74|84,1000073,1,1,10,3,0.00019,9.999260054755948e-07,13.000190999926005,0
00000243--a4d9c0a5dd--0:99:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,99,167402860916,1000073,1000083,74|84,1000083,1,1,10,3,9e-05,9.999160070554073e-07,13.000090999916008,1
00000243--a4d9c0a5dd--0:114:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,114,168902448124,1000073,1000073,75,1000073,1,1,10,3,0.00034,9.999260054755948e-07,13.000340999926005,1
00000243--a4d9c0a5dd--0:114:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,114,168902448124,1000073,1000108,74,1000073,1,0,10,0,0.00034,9.999260054755948e-07,10.000340999926005,0
00000243--a4d9c0a5dd--0:141:1000081:82|97,00000243--a4d9c0a5dd--0,00000243,0,141,171602650920,1000081,1000081,82,1000081,1,1,10,3,0.0005200000000000001,9.999180067234488e-07,13.000520999918006,1
00000243--a4d9c0a5dd--0:141:1000081:82|97,00000243--a4d9c0a5dd--0,00000243,0,141,171602650920,1000081,1000144,97,1000081,1,0,10,0,0.0005200000000000001,9.999180067234488e-07,10.000520999918006,0
00000243--a4d9c0a5dd--0:143:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,143,171803173496,1000127,1000100,113|127,1000100,1,1,10,3,0.00039000000000000005,9.998990101999698e-07,13.00039099989901,1
00000243--a4d9c0a5dd--0:143:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,143,171803173496,1000127,1000100,113|127,1000127,1,0,10,0,0.00013000000000000002,9.99872016381903e-07,10.000130999872017,0
00000243--a4d9c0a5dd--0:143:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,143,171803173496,1000127,1000127,126,1000127,1,1,10,3,0.00013000000000000002,9.99872016381903e-07,13.000130999872017,1
00000243--a4d9c0a5dd--0:144:1000073:75|121,00000243--a4d9c0a5dd--0,00000243,0,144,171893199512,1000073,1000073,75,1000073,1,1,10,3,0.00064,9.999260054755948e-07,13.000640999926006,1
00000243--a4d9c0a5dd--0:144:1000073:75|121,00000243--a4d9c0a5dd--0,00000243,0,144,171893199512,1000073,1000147,121|145,1000073,1,0,10,0,0.00064,9.999260054755948e-07,10.000640999926006,0
00000243--a4d9c0a5dd--0:144:1000073:75|121,00000243--a4d9c0a5dd--0,00000243,0,144,171893199512,1000073,1000147,121|145,1000147,1,1,10,3,3.0000000000000004e-05,9.998520219007586e-07,13.000030999852022,1
00000243--a4d9c0a5dd--0:148:1000100:113|127,00000243--a4d9c0a5dd--0,00000243,0,148,172293339539,1000100,1000100,113,1000100,1,1,10,3,0.00044,9.998990101999698e-07,13.00044099989901,1
00000243--a4d9c0a5dd--0:148:1000100:113|127,00000243--a4d9c0a5dd--0,00000243,0,148,172293339539,1000100,1000152,127,1000100,1,0,10,0,0.00044,9.998990101999698e-07,10.00044099989901,0
00000243--a4d9c0a5dd--0:153:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,153,172793608453,1000127,1000100,113|127,1000100,1,1,10,3,0.0004900000000000001,9.998990101999698e-07,13.000490999899009,1
00000243--a4d9c0a5dd--0:153:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,153,172793608453,1000127,1000100,113|127,1000127,1,0,10,0,0.00023,9.99872016381903e-07,10.000230999872016,0
00000243--a4d9c0a5dd--0:153:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,153,172793608453,1000127,1000127,126,1000127,1,1,10,3,0.00023,9.99872016381903e-07,13.000230999872016,1
00000243--a4d9c0a5dd--0:160:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000092,1000092,93,1000092,1,1,10,3,0.00062,9.999070086481957e-07,13.000620999907008,1
00000243--a4d9c0a5dd--0:160:1000100:126|127,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000100,1000100,127,1000100,1,1,10,3,0.0005600000000000001,9.998990101999698e-07,13.00056099989901,1
00000243--a4d9c0a5dd--0:160:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000092,1000165,123,1000092,1,0,10,0,0.00062,9.999070086481957e-07,10.000620999907008,0
00000243--a4d9c0a5dd--0:160:1000100:126|127,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000100,1000166,126,1000100,1,0,10,0,0.0005600000000000001,9.998990101999698e-07,10.00056099989901,0
00000243--a4d9c0a5dd--0:164:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,164,173894976928,1000092,1000092,93,1000092,1,1,10,3,0.0006600000000000001,9.999070086481957e-07,13.000660999907009,1
00000243--a4d9c0a5dd--0:164:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,164,173894976928,1000092,1000172,123,1000092,1,0,10,0,0.0006600000000000001,9.999070086481957e-07,10.000660999907009,0
00000243--a4d9c0a5dd--0:167:1000169:164|168,00000243--a4d9c0a5dd--0,00000243,0,167,174193612858,1000169,1000169,164,1000169,1,1,10,3,4e-05,9.99830028895088e-07,13.000040999830029,1
00000243--a4d9c0a5dd--0:167:1000169:164|168,00000243--a4d9c0a5dd--0,00000243,0,167,174193612858,1000169,1000175,168,1000169,1,0,10,0,4e-05,9.99830028895088e-07,10.000040999830029,0
00000243--a4d9c0a5dd--0:203:1000100:127|181,00000243--a4d9c0a5dd--0,00000243,0,203,177792901767,1000100,1000100,127,1000100,1,1,10,3,0.0009800000000000002,9.998990101999698e-07,13.00098099989901,1
00000243--a4d9c0a5dd--0:203:1000100:127|181,00000243--a4d9c0a5dd--0,00000243,0,203,177792901767,1000100,1000200,181,1000100,1,0,10,0,0.0009800000000000002,9.998990101999698e-07,10.00098099989901,0
00000243--a4d9c0a5dd--0:204:1000133:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,204,177893419091,1000133,1000133,188|190,1000133,2,0,20,0,0.00071,9.998660179535942e-07,20.00071099986602,1
