candidate,prefix,expected_scans,actual_scans,compared_scans,mismatches,length_match,pass
A_HYSTERESIS,25%,150,150,150,0,1,1
A_HYSTERESIS,50%,300,300,300,0,1,1
A_HYSTERESIS,75%,450,450,450,0,1,1
A_HYSTERESIS,EVENT_407,408,408,408,0,1,1
A_HYSTERESIS,100%,600,600,600,0,1,1
B_CONFIRMATION,25%,150,150,150,0,1,1
B_CONFIRMATION,50%,300,300,300,0,1,1
B_CONFIRMATION,75%,450,450,450,0,1,1
B_CONFIRMATION,EVENT_407,408,408,408,0,1,1
B_CONFIRMATION,100%,600,600,600,0,1,1
C_QUANTIZED,25%,150,150,150,0,1,1
C_QUANTIZED,50%,300,300,300,0,1,1
C_QUANTIZED,75%,450,450,450,0,1,1
C_QUANTIZED,EVENT_407,408,408,408,0,1,1
C_QUANTIZED,100%,600,600,600,0,1,1
D_STABLE_CORE,25%,150,150,150,0,1,1
D_STABLE_CORE,50%,300,300,300,0,1,1
D_STABLE_CORE,75%,450,450,450,0,1,1
D_STABLE_CORE,EVENT_407,408,408,408,0,1,1
D_STABLE_CORE,100%,600,600,600,0,1,1
E_REP_HOLD,25%,150,150,150,0,1,1
E_REP_HOLD,50%,300,300,300,0,1,1
E_REP_HOLD,75%,450,450,450,0,1,1
E_REP_HOLD,EVENT_407,408,408,408,0,1,1
E_REP_HOLD,100%,600,600,600,0,1,1
