event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_alias,parent_published_before,published_child_count,published_child_pids,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only
00000243--a4d9c0a5dd--0:99:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,99,167402860916,1000073,44,1,2,1000073|1000083,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:114:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,114,168902448124,1000073,44,1,2,1000073|1000108,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:141:1000081:82|97,00000243--a4d9c0a5dd--0,00000243,0,141,171602650920,1000081,46,1,2,1000081|1000144,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:143:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,143,171803173496,1000127,59,1,2,1000100|1000127,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:144:1000073:75|121,00000243--a4d9c0a5dd--0,00000243,0,144,171893199512,1000073,44,1,2,1000073|1000147,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:148:1000100:113|127,00000243--a4d9c0a5dd--0,00000243,0,148,172293339539,1000100,56,1,2,1000100|1000152,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:153:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,153,172793608453,1000127,59,1,2,1000100|1000127,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:160:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000092,53,1,2,1000092|1000165,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:160:1000100:126|127,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000100,56,1,2,1000100|1000166,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:164:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,164,173894976928,1000092,53,1,2,1000092|1000172,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:167:1000169:164|168,00000243--a4d9c0a5dd--0,00000243,0,167,174193612858,1000169,35,1,2,1000169|1000175,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:203:1000100:127|181,00000243--a4d9c0a5dd--0,00000243,0,203,177792901767,1000100,56,1,2,1000100|1000200,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:204:1000133:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,204,177893419091,1000133,57,1,2,1000133|1000203,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:216:1000133:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,216,179093642260,1000133,57,1,2,1000133|1000209,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:223:1000186:179|180|193,00000243--a4d9c0a5dd--0,00000243,0,223,179793224633,1000186,84,1,2,1000186|1000219,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:225:1000186:179|180,00000243--a4d9c0a5dd--0,00000243,0,225,179993078716,1000186,84,1,2,1000186|1000217,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:228:1000209:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,228,180293174412,1000209,94,1,2,1000209|1000215,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:228:1000217:179|206,00000243--a4d9c0a5dd--0,00000243,0,228,180293174412,1000217,51,1,2,1000186|1000217,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:240:1000186:193|206|209,00000243--a4d9c0a5dd--0,00000243,0,240,181502705911,1000186,84,1,2,1000186|1000217,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:263:1000223:211|230,00000243--a4d9c0a5dd--0,00000243,0,263,183802820526,1000223,93,1,2,1000223|1000244,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:293:1000209:132|190,00000243--a4d9c0a5dd--0,00000243,0,293,186803087218,1000209,94,1,2,1000209|1000215,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:293:1000234:193|221,00000243--a4d9c0a5dd--0,00000243,0,293,186803087218,1000234,53,1,2,1000234|1000253,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:301:1000209:132|200|236,00000243--a4d9c0a5dd--0,00000243,0,301,187603573648,1000209,94,1,2,1000209|1000256,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:309:1000234:193|209|221,00000243--a4d9c0a5dd--0,00000243,0,309,188403088452,1000234,53,1,2,1000234|1000261,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:392:1000311:291|293,00000243--a4d9c0a5dd--0,00000243,0,392,196713364343,1000311,58,1,2,1000311|1000320,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:394:1000295:275|290,00000243--a4d9c0a5dd--0,00000243,0,394,196912623591,1000295,40,1,2,1000295|1000322,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:395:1000311:291|293,00000243--a4d9c0a5dd--0,00000243,0,395,197013070892,1000311,58,1,2,1000295|1000311,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:397:1000316:296|298,00000243--a4d9c0a5dd--0,00000243,0,397,197215706417,1000316,89,1,2,1000316|1000319,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:399:1000312:292|295,00000243--a4d9c0a5dd--0,00000243,0,399,197412842189,1000312,49,1,2,1000312|1000316,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:402:1000295:275|291|293,00000243--a4d9c0a5dd--0,00000243,0,402,197712430871,1000295,40,1,2,1000295|1000328,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:403:1000316:295|299,00000243--a4d9c0a5dd--0,00000243,0,403,197813214759,1000316,89,1,2,1000316|1000319,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:404:1000319:298|299,00000243--a4d9c0a5dd--0,00000243,0,404,197912846513,1000319,52,1,2,1000319|1000334,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:440:1000368:342|343,00000243--a4d9c0a5dd--0,00000243,0,440,201513451381,1000368,83,1,2,1000368|1000370,0,1,0,1,1,0
00000243--a4d9c0a5dd--0:443:1000366:341|342,00000243--a4d9c0a5dd--0,00000243,0,443,201813620631,1000366,87,1,2,1000366|1000375,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:443:1000370:343|345|347,00000243--a4d9c0a5dd--0,00000243,0,443,201813620631,1000370,74,1,2,1000370|1000376,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:452:1000370:345|347,00000243--a4d9c0a5dd--0,00000243,0,452,202712575124,1000370,74,1,2,1000370|1000378,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:461:1000380:352|353,00000243--a4d9c0a5dd--0,00000243,0,461,203613066397,1000380,39,1,2,1000380|1000382,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:545:1000438:397|409,00000243--a4d9c0a5dd--0,00000243,0,545,212012985346,1000438,69,1,2,1000438|1000450,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:555:1000427:399|403|407,00000243--a4d9c0a5dd--0,00000243,0,555,213013360456,1000427,73,1,2,1000427|1000432,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:559:1000432:399|404,00000243--a4d9c0a5dd--0,00000243,0,559,213413503521,1000432,58,1,2,1000432|1000470,0,1,0,0,1,0
00000243--a4d9c0a5dd--0:620:1000504:469|474,00000243--a4d9c0a5dd--0,00000243,0,620,219513437766,1000504,41,1,2,1000504|1000522,0,1,0,0,1,0
00000245--2c15eb5d45--12:117:1000068:69|70,00000245--2c15eb5d45--12,00000245,12,117,787619557943,1000068,34,1,2,1000068|1000073,0,1,0,0,1,0
00000245--2c15eb5d45--12:189:1000102:102|104,00000245--2c15eb5d45--12,00000245,12,189,794818725002,1000102,40,1,2,1000102|1000107,0,1,0,0,1,0
00000245--2c15eb5d45--12:258:1000141:140|141,00000245--2c15eb5d45--12,00000245,12,258,801718900987,1000141,57,1,2,1000141|1000144,0,1,0,0,1,0
00000245--2c15eb5d45--12:313:1000180:178|180,00000245--2c15eb5d45--12,00000245,12,313,807219603471,1000180,33,1,2,1000180|1000196,0,1,0,0,1,0
00000245--2c15eb5d45--12:321:1000197:194|201,00000245--2c15eb5d45--12,00000245,12,321,808019319590,1000197,46,1,2,1000197|1000209,0,1,0,0,1,0
00000245--2c15eb5d45--12:329:1000187:185|206,00000245--2c15eb5d45--12,00000245,12,329,808818970141,1000187,47,1,2,1000187|1000216,0,1,0,0,1,0
00000245--2c15eb5d45--12:423:1000298:291|294,00000245--2c15eb5d45--12,00000245,12,423,818219308889,1000298,78,1,2,1000298|1000310,0,1,0,0,1,0
00000245--2c15eb5d45--12:426:1000306:299|300,00000245--2c15eb5d45--12,00000245,12,426,818518928347,1000306,51,1,2,1000306|1000314,0,1,0,0,1,0
00000245--2c15eb5d45--19:32:1000014:15|31,00000245--2c15eb5d45--19,00000245,19,32,1199099485964,1000014,46,1,2,1000014|1000074,0,1,0,0,1,0
00000245--2c15eb5d45--19:72:1000123:121|131,00000245--2c15eb5d45--19,00000245,19,72,1203098798149,1000123,71,1,2,1000123|1000152,0,1,0,0,1,0
00000245--2c15eb5d45--19:111:1000198:191|205,00000245--2c15eb5d45--19,00000245,19,111,1207000384297,1000198,40,1,2,1000198|1000215,0,1,0,0,1,0
00000245--2c15eb5d45--19:159:1000247:238|264,00000245--2c15eb5d45--19,00000245,19,159,1211798797645,1000247,93,1,2,1000247|1000285,0,1,0,1,1,0
00000245--2c15eb5d45--19:161:1000275:261|265,00000245--2c15eb5d45--19,00000245,19,161,1211998754892,1000275,80,1,2,1000275|1000293,0,1,0,0,1,0
