candidate,event,baseline_split_scan,baseline_rejoin_scan,outcome,candidate_split_scan,candidate_same_group_at_baseline_split
A_HYSTERESIS,1,400,405,DELAYED_SPLIT,403,1
A_HYSTERESIS,2,407,408,PREVENTED_SPLIT,,1
A_HYSTERESIS,3,450,454,DELAYED_SPLIT,451,1
A_HYSTERESIS,4,463,470,DELAYED_SPLIT,464,1
A_HYSTERESIS,5,482,500,DELAYED_SPLIT,483,1
A_HYSTERESIS,6,503,512,DELAYED_SPLIT,504,1
A_HYSTERESIS,7,517,534,DELAYED_SPLIT,518,1
A_HYSTERESIS,8,537,540,DELAYED_SPLIT,538,1
A_HYSTERESIS,9,557,570,DELAYED_SPLIT,558,1
A_HYSTERESIS,10,583,585,PREVENTED_SPLIT,,1
A_HYSTERESIS,11,586,587,PREVENTED_SPLIT,,1
B_CONFIRMATION,1,400,405,DELAYED_SPLIT,401,1
B_CONFIRMATION,2,407,408,PREVENTED_SPLIT,,1
B_CONFIRMATION,3,450,454,DELAYED_SPLIT,451,1
B_CONFIRMATION,4,463,470,DELAYED_SPLIT,464,1
B_CONFIRMATION,5,482,500,DELAYED_SPLIT,483,1
B_CONFIRMATION,6,503,512,DELAYED_SPLIT,504,1
B_CONFIRMATION,7,517,534,DELAYED_SPLIT,518,1
B_CONFIRMATION,8,537,540,DELAYED_SPLIT,538,1
B_CONFIRMATION,9,557,570,DELAYED_SPLIT,558,1
B_CONFIRMATION,10,583,585,DELAYED_SPLIT,584,1
B_CONFIRMATION,11,586,587,PREVENTED_SPLIT,,1
C_QUANTIZED,1,400,405,UNCHANGED_SPLIT,400,0
C_QUANTIZED,2,407,408,PREVENTED_SPLIT,,1
C_QUANTIZED,3,450,454,DELAYED_SPLIT,451,1
C_QUANTIZED,4,463,470,DELAYED_SPLIT,464,1
C_QUANTIZED,5,482,500,DELAYED_SPLIT,483,1
C_QUANTIZED,6,503,512,DELAYED_SPLIT,504,1
C_QUANTIZED,7,517,534,DELAYED_SPLIT,518,1
C_QUANTIZED,8,537,540,DELAYED_SPLIT,538,1
C_QUANTIZED,9,557,570,DELAYED_SPLIT,558,1
C_QUANTIZED,10,583,585,DELAYED_SPLIT,584,1
C_QUANTIZED,11,586,587,UNCHANGED_SPLIT,586,0
D_STABLE_CORE,1,400,405,UNCHANGED_SPLIT,400,0
D_STABLE_CORE,2,407,408,UNCHANGED_SPLIT,407,0
D_STABLE_CORE,3,450,454,UNCHANGED_SPLIT,450,0
D_STABLE_CORE,4,463,470,UNCHANGED_SPLIT,463,0
D_STABLE_CORE,5,482,500,UNCHANGED_SPLIT,482,0
D_STABLE_CORE,6,503,512,UNCHANGED_SPLIT,503,0
D_STABLE_CORE,7,517,534,UNCHANGED_SPLIT,517,0
D_STABLE_CORE,8,537,540,UNCHANGED_SPLIT,537,0
D_STABLE_CORE,9,557,570,UNCHANGED_SPLIT,557,0
D_STABLE_CORE,10,583,585,UNCHANGED_SPLIT,583,0
D_STABLE_CORE,11,586,587,UNCHANGED_SPLIT,586,0
E_REP_HOLD,1,400,405,UNCHANGED_SPLIT,400,0
E_REP_HOLD,2,407,408,UNCHANGED_SPLIT,407,0
E_REP_HOLD,3,450,454,UNCHANGED_SPLIT,450,0
E_REP_HOLD,4,463,470,UNCHANGED_SPLIT,463,0
E_REP_HOLD,5,482,500,UNCHANGED_SPLIT,482,0
E_REP_HOLD,6,503,512,UNCHANGED_SPLIT,503,0
E_REP_HOLD,7,517,534,UNCHANGED_SPLIT,517,0
E_REP_HOLD,8,537,540,UNCHANGED_SPLIT,537,0
E_REP_HOLD,9,557,570,UNCHANGED_SPLIT,557,0
E_REP_HOLD,10,583,585,UNCHANGED_SPLIT,583,0
E_REP_HOLD,11,586,587,UNCHANGED_SPLIT,586,0
