event_id,key,route,segment,split_scan,split_ns,parent_pid,parent_members,parent_member_count,observed_parent_members,raw_dropout_count,child_count,children,parent_representative,owner_child_pid,owner_child_members,owner_child_representative,new_pid_births,new_pids,failure_edge,failure_reason,failure_excess,publication_gap,new_public_point,alias_change,representative_change,external_visible,internal_only,rejoin_scan,rejoin_ns,rejoin_latency_s,rejoin_pid,rejoin_members,rejoin_to_parent_pid
00000243--a4d9c0a5dd--0:99:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,99,167402860916,1000073,74|75,2,74|75,0,2,1000073:75;1000083:74|84,74,1000073,75,75,0,,74|75,LATERAL_GROWTH,0.09375,0,1,0,1,1,0,109,168402954697,1.000093781,1000073,74|75,1
00000243--a4d9c0a5dd--0:114:1000073:74|75,00000243--a4d9c0a5dd--0,00000243,0,114,168902448124,1000073,74|75,2,74|75,0,2,1000073:75;1000108:74,75,1000073,75,75,1,1000108,74|75,DISTANCE_DIAMETER,0.25,0,1,0,0,1,0,117,169203299778,0.300851654,1000073,74|75,1
00000243--a4d9c0a5dd--0:143:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,143,171803173496,1000127,126|127,2,126|127,0,2,1000100:113|127;1000127:126,126,1000127,126,126,0,,126|127,DISTANCE_DIAMETER,0.25,0,1,0,0,1,0,150,172493590473,0.690416977,1000127,126|127,1
00000243--a4d9c0a5dd--0:148:1000100:113|127,00000243--a4d9c0a5dd--0,00000243,0,148,172293339539,1000100,113|127,2,113|127,0,2,1000100:113;1000152:127,113,1000100,113,113,1,1000152,113|127,LATERAL_DIAMETER,0.28125,0,1,0,0,1,0,153,172793608453,0.500268914,1000100,113|127,1
00000243--a4d9c0a5dd--0:153:1000127:126|127,00000243--a4d9c0a5dd--0,00000243,0,153,172793608453,1000127,126|127,2,126|127,0,2,1000100:113|127;1000127:126,126,1000127,126,126,0,,126|127,DISTANCE_DIAMETER,0.25,0,1,0,0,1,0,159,173393628353,0.6000199,1000100,126|127,0
00000243--a4d9c0a5dd--0:160:1000092:93|123,00000243--a4d9c0a5dd--0,00000243,0,160,173493424134,1000092,93|123,2,93|123,0,2,1000092:93;1000165:123,93,1000092,93,93,1,1000165,93|123,DISTANCE_DIAMETER,0.25,0,1,0,0,1,0,163,173792915834,0.2994917,1000092,93|123,1
00000243--a4d9c0a5dd--0:204:1000133:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,204,177893419091,1000133,132|188|190,3,132|188|190,0,2,1000133:188|190;1000203:132,132,1000133,188|190,190,1,1000203,132|188,DISTANCE_DIAMETER,0.25,0,1,0,1,1,0,214,178892929157,0.999510066,1000133,132|188|190,1
00000243--a4d9c0a5dd--0:216:1000133:132|188|190,00000243--a4d9c0a5dd--0,00000243,0,216,179093642260,1000133,132|188|190,3,132|188|190,0,2,1000133:132;1000209:188|190|200,190,1000133,132,132,0,,132|188,DISTANCE_DIAMETER,0.25,0,1,0,1,1,0,220,179492438436,0.398796176,1000209,132|188|190,0
00000243--a4d9c0a5dd--0:293:1000234:193|221,00000243--a4d9c0a5dd--0,00000243,0,293,186803087218,1000234,193|221,2,193|221,0,2,1000234:221;1000253:193,221,1000234,221,221,1,1000253,193|221,LATERAL_DIAMETER,0.03125,0,1,0,0,1,0,308,188302642341,1.499555123,1000234,193|209|221,1
00000243--a4d9c0a5dd--0:392:1000311:291|293,00000243--a4d9c0a5dd--0,00000243,0,392,196713364343,1000311,291|293,2,291|293,0,2,1000311:291;1000320:293,291,1000311,291,291,1,1000320,291|293,LATERAL_GROWTH,0.125,0,1,0,0,1,0,394,196912623591,0.199259248,1000311,291|293,1
00000243--a4d9c0a5dd--0:395:1000311:291|293,00000243--a4d9c0a5dd--0,00000243,0,395,197013070892,1000311,291|293,2,291|293,0,2,1000295:275|291;1000311:293,291,1000311,293,293,0,,291|293,DISTANCE_GROWTH,0.25,0,1,0,1,1,0,396,197113281335,0.100210443,1000295,275|291|293,0
00000243--a4d9c0a5dd--0:402:1000295:275|291|293,00000243--a4d9c0a5dd--0,00000243,0,402,197712430871,1000295,275|291|293,3,275|291|293,0,2,1000295:275|293;1000328:291,275,1000295,275|293,275,1,1000328,275|291,LATERAL_GROWTH,0.0625,0,1,0,0,1,0,403,197813214759,0.100783888,1000295,275|291|293,1
00000243--a4d9c0a5dd--0:440:1000368:342|343,00000243--a4d9c0a5dd--0,00000243,0,440,201513451381,1000368,342|343,2,342|343,0,2,1000368:342;1000370:343|345,343,1000368,342,342,0,,342|343,DISTANCE_GROWTH,0.25,0,1,0,1,1,0,445,202015113321,0.50166194,1000375,342|343,0
00000245--2c15eb5d45--12:258:1000141:140|141,00000245--2c15eb5d45--12,00000245,12,258,801718900987,1000141,140|141,2,140|141,0,2,1000141:140;1000144:141,140,1000141,140,140,1,1000144,140|141,VELOCITY_DIAMETER,0.75,0,1,0,0,1,0,261,802019410539,0.300509552,1000141,140|141,1
00000245--2c15eb5d45--19:291:1000369:356|358,00000245--2c15eb5d45--19,00000245,19,291,1224998874297,1000369,356|358,2,356|358,0,2,1000369:356;1000404:358,356,1000369,356,356,1,1000404,356|358,LATERAL_GROWTH,0.15625,0,1,0,0,1,0,296,1225499174942,0.500300645,1000369,356|358,1
00000245--2c15eb5d45--19:345:1000421:407|421,00000245--2c15eb5d45--19,00000245,19,345,1230398841772,1000421,407|421,2,407|421,0,2,1000421:407;1000440:421,407,1000421,407,407,1,1000440,407|421,DISTANCE_DIAMETER,0.25,0,1,0,0,1,0,349,1230798929176,0.400087404,1000421,407|421,1
