candidate,case,scans,final_partition,split_events,rejoin_events,pid_births,representative_changes,state_peak
BASELINE,A_STABLE_PAIR,5,1|2,0,0,2,0,0
BASELINE,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,0
BASELINE,C_DISTANCE_PLUS_ONE_STEP,5,1;2,1,0,3,0,0
BASELINE,D_LATERAL_PLUS_ONE_STEP,5,1;2,1,0,3,0,0
BASELINE,E_LATERAL_GROWTH,5,1;2,1,0,3,0,0
BASELINE,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,0
BASELINE,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,0
BASELINE,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,0
BASELINE,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,0
BASELINE,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,0
BASELINE,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,0
BASELINE,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,0
BASELINE,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,0
A_HYSTERESIS,A_STABLE_PAIR,5,1|2,0,0,2,0,2
A_HYSTERESIS,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,2
A_HYSTERESIS,C_DISTANCE_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
A_HYSTERESIS,D_LATERAL_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
A_HYSTERESIS,E_LATERAL_GROWTH,5,1|2,0,0,2,0,2
A_HYSTERESIS,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,2
A_HYSTERESIS,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,2
A_HYSTERESIS,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,4
A_HYSTERESIS,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,6
A_HYSTERESIS,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,2
A_HYSTERESIS,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,6
A_HYSTERESIS,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,4
A_HYSTERESIS,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,2
B_CONFIRMATION,A_STABLE_PAIR,5,1|2,0,0,2,0,2
B_CONFIRMATION,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,2
B_CONFIRMATION,C_DISTANCE_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
B_CONFIRMATION,D_LATERAL_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
B_CONFIRMATION,E_LATERAL_GROWTH,5,1|2,0,0,2,0,2
B_CONFIRMATION,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,2
B_CONFIRMATION,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,2
B_CONFIRMATION,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,4
B_CONFIRMATION,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,6
B_CONFIRMATION,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,2
B_CONFIRMATION,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,6
B_CONFIRMATION,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,4
