segment,time_s,scan_ns,raw_slot,raw_track_id,public_track_id,physical_pid,members,representative,dRel,yRel,vRel,representative_changed,member_set_changed
21,20.865275,1347345050240,21,822,76,1000845,822,822,18.75,-2.9375,-9.0,,
21,20.964932,1347444707286,24,822,,1000845,822,822,18.25,-2.8125,-9.0,0,0
21,21.065081,1347544856239,24,822,,1000845,822,822,18.25,-2.6875,-9.0,0,0
21,21.165049,1347644824319,24,822,,1000845,822,822,17.5,-2.84375,-8.75,0,0
21,21.264834,1347744608878,24,822,76,1000845,822,822,16.75,-2.78125,-8.75,0,0
21,21.364579,1347844354266,24,822,76,1000845,822,822,16.0,-2.625,-9.0,0,0
21,21.465329,1347945103715,24,822,76,1000845,822,822,15.25,-2.5625,-9.0,0,0
21,21.565031,1348044806345,24,822,76,1000845,822,822,13.75,-2.40625,-9.0,0,0
21,21.666656,1348146430849,24,822,76,1000845,822,822,13.25,-2.375,-9.0,0,0
21,21.76689,1348246664639,24,822,76,1000845,822,822,12.5,-2.28125,-9.0,0,0
21,21.865343,1348345117576,24,822,76,1000845,822,822,11.75,-2.1875,-9.0,0,0
