case,scan,scan_ns,partition,pids,representatives,relaxed_edges,state_size,candidate
G_TEN_OSCILLATIONS,0,100000000,1;2,1000000;1000001,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,1,200000000,1;2,1000000;1000001,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,2,300000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,3,400000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,4,500000000,1;2,1000000;1000002,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,5,600000000,1;2,1000000;1000002,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,6,700000000,1;2,1000000;1000002,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,7,800000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,8,900000000,1;2,1000000;1000003,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,9,1000000000,1;2,1000000;1000003,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,10,1100000000,1;2,1000000;1000003,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,11,1200000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,12,1300000000,1;2,1000000;1000004,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,13,1400000000,1;2,1000000;1000004,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,14,1500000000,1;2,1000000;1000004,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,15,1600000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,16,1700000000,1;2,1000000;1000005,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,17,1800000000,1;2,1000000;1000005,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,18,1900000000,1;2,1000000;1000005,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,19,2000000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,20,2100000000,1;2,1000000;1000006,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,21,2200000000,1;2,1000000;1000006,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,22,2300000000,1;2,1000000;1000006,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,23,2400000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,24,2500000000,1;2,1000000;1000007,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,25,2600000000,1;2,1000000;1000007,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,26,2700000000,1;2,1000000;1000007,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,27,2800000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,28,2900000000,1;2,1000000;1000008,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,29,3000000000,1;2,1000000;1000008,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,30,3100000000,1;2,1000000;1000008,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,31,3200000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,32,3300000000,1;2,1000000;1000009,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,33,3400000000,1;2,1000000;1000009,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,34,3500000000,1;2,1000000;1000009,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,35,3600000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,36,3700000000,1;2,1000000;1000010,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,37,3800000000,1;2,1000000;1000010,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,38,3900000000,1;2,1000000;1000010,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,39,4000000000,1|2,1000000,1,0,0,BASELINE
G_TEN_OSCILLATIONS,40,4100000000,1;2,1000000;1000011,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,41,4200000000,1;2,1000000;1000011,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,42,4300000000,1;2,1000000;1000011,1;2,0,0,BASELINE
G_TEN_OSCILLATIONS,43,4400000000,1|2,1000000,1,0,0,BASELINE
