case,scan,scan_ns,partition,pids,representatives,relaxed_edges,state_size,candidate
I_THREE_MEMBER_EDGE_OSCILLATION,0,100000000,1;2;3,1000000;1000001;1000002,1;2;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,1,200000000,1;2;3,1000000;1000001;1000002,1;2;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,2,300000000,1|2|3,1000000,1,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,3,400000000,1|2|3,1000000,1,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,4,500000000,1|2;3,1000000;1000003,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,5,600000000,1|2;3,1000000;1000003,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,6,700000000,1|2;3,1000000;1000003,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,7,800000000,1|2|3,1000000,1,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,8,900000000,1|2;3,1000000;1000004,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,9,1000000000,1|2;3,1000000;1000004,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,10,1100000000,1|2;3,1000000;1000004,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,11,1200000000,1|2|3,1000000,1,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,12,1300000000,1|2;3,1000000;1000005,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,13,1400000000,1|2;3,1000000;1000005,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,14,1500000000,1|2;3,1000000;1000005,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,15,1600000000,1|2|3,1000000,1,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,16,1700000000,1|2;3,1000000;1000006,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,17,1800000000,1|2;3,1000000;1000006,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,18,1900000000,1|2;3,1000000;1000006,1;3,0,0,BASELINE
I_THREE_MEMBER_EDGE_OSCILLATION,19,2000000000,1|2|3,1000000,1,0,0,BASELINE
