policy,invariant,mismatch_scans,pass
P0,raw,0,1
P0,group,0,1
P0,pid,0,1
P0,member,0,1
P0,tracking_representative,0,1
P0,qualification,0,1
P0,publication_set,0,1
P0,alias,0,1
P0,internal_aLead,0,1
P1,raw,0,1
P1,group,0,1
P1,pid,0,1
P1,member,0,1
P1,tracking_representative,0,1
P1,qualification,0,1
P1,publication_set,0,1
P1,alias,0,1
P1,internal_aLead,0,1
P2,raw,0,1
P2,group,0,1
P2,pid,0,1
P2,member,0,1
P2,tracking_representative,0,1
P2,qualification,0,1
P2,publication_set,0,1
P2,alias,0,1
P2,internal_aLead,0,1
P3,raw,0,1
P3,group,0,1
P3,pid,0,1
P3,member,0,1
P3,tracking_representative,0,1
P3,qualification,0,1
P3,publication_set,0,1
P3,alias,0,1
P3,internal_aLead,0,1
P4,raw,0,1
P4,group,0,1
P4,pid,0,1
P4,member,0,1
P4,tracking_representative,0,1
P4,qualification,0,1
P4,publication_set,0,1
P4,alias,0,1
P4,internal_aLead,0,1
P5,raw,0,1
P5,group,0,1
P5,pid,0,1
P5,member,0,1
P5,tracking_representative,0,1
P5,qualification,0,1
P5,publication_set,0,1
P5,alias,0,1
P5,internal_aLead,0,1
P6,raw,0,1
P6,group,0,1
P6,pid,0,1
P6,member,0,1
P6,tracking_representative,0,1
P6,qualification,0,1
P6,publication_set,0,1
P6,alias,0,1
P6,internal_aLead,0,1
