policy,population,coordinate,n,p50,p90,p95,p99,max
P0,ALL,dRel,58496,1.7558326721191406,3.5789451599121094,4.488698482513428,5.74992561340332,9.325016021728516
P0,ALL,yRel,58496,0.15625,0.8125,1.09375,1.65625,5.625
P0,ALL,vRel,58496,0.0,0.25,0.5,1.0,2.75
P0,STABLE_GROUP,dRel,26570,2.008159637451172,3.2360366821289066,3.7300071716308594,4.652062244415305,6.804691314697266
P0,STABLE_GROUP,yRel,26570,0.125,0.625,0.84375,1.28125,4.46875
P0,STABLE_GROUP,vRel,26570,0.0,0.25,0.5,0.75,1.75
P1,ALL,dRel,55701,1.7634048461914062,3.7714614868164062,4.5281982421875,5.7889556884765625,9.325016021728516
P1,ALL,yRel,55701,0.15625,0.8125,1.09375,1.6875,5.625
P1,ALL,vRel,55701,0.0,0.5,0.5,1.0,2.75
P1,STABLE_GROUP,dRel,23742,2.0301246643066406,3.4895721435546876,3.988582134246826,4.798508262634278,7.063449859619141
P1,STABLE_GROUP,yRel,23742,0.125,0.59375,0.84375,1.3125,4.9375
P1,STABLE_GROUP,vRel,23742,0.0,0.25,0.5,0.75,1.5
P2,ALL,dRel,57146,1.7580947875976562,3.712789535522461,4.500005722045898,5.766803836822516,9.325016021728516
P2,ALL,yRel,57146,0.15625,0.8125,1.09375,1.6875,5.625
P2,ALL,vRel,57146,0.0,0.5,0.5,1.0,2.75
P2,STABLE_GROUP,dRel,25125,2.0149459838867188,3.2557044982910166,3.7609962463378905,4.724697456359862,6.804691314697266
P2,STABLE_GROUP,yRel,25125,0.125,0.625,0.84375,1.3125,4.46875
P2,STABLE_GROUP,vRel,25125,0.0,0.25,0.5,0.75,1.75
P3,ALL,dRel,58149,1.7577857971191406,3.6629646301269547,4.495181274414063,5.754442672729491,9.325016021728516
P3,ALL,yRel,58149,0.15625,0.78125,1.09375,1.6875,5.625
P3,ALL,vRel,58149,0.0,0.25,0.5,1.0,2.75
P3,STABLE_GROUP,dRel,26189,2.01214599609375,3.2480087280273438,3.7439254760742187,4.722097015380858,6.804691314697266
P3,STABLE_GROUP,yRel,26189,0.125,0.59375,0.8125,1.28125,4.46875
P3,STABLE_GROUP,vRel,26189,0.0,0.25,0.5,0.75,1.75
P4,ALL,dRel,55701,1.7634048461914062,3.771407127380371,4.528171539306641,5.7889556884765625,9.325016021728516
P4,ALL,yRel,55701,0.15625,0.8125,1.09375,1.6875,5.625
P4,ALL,vRel,55701,0.0,0.5,0.5,1.0,2.75
P4,STABLE_GROUP,dRel,23743,2.030120849609375,3.4894989013671873,3.9884708404541,4.798501205444334,7.063449859619141
P4,STABLE_GROUP,yRel,23743,0.125,0.59375,0.84375,1.3125,4.9375
P4,STABLE_GROUP,vRel,23743,0.0,0.25,0.5,0.75,1.5
P5,ALL,dRel,45731,1.5,4.670112609863281,5.274871826171875,6.719940185546868,10.126876831054688
P5,ALL,yRel,45731,0.25,1.125,1.375,2.0625,6.5625
P5,ALL,vRel,45731,0.0,0.5,0.75,1.25,2.75
P5,STABLE_GROUP,dRel,1492,1.4948866367340088,2.7554691314697264,3.5255526542663587,4.7681760025024404,8.00783920288086
P5,STABLE_GROUP,yRel,1492,0.625,1.28125,1.34375,1.6875,2.53125
P5,STABLE_GROUP,vRel,1492,0.0,0.25,0.5,0.75,1.75
P6,ALL,dRel,56937,1.7594375610351562,3.7243116378784182,4.503430175781249,5.768560485839844,9.325016021728516
P6,ALL,yRel,56937,0.15625,0.8125,1.09375,1.6875,5.625
P6,ALL,vRel,56937,0.0,0.25,0.5,1.0,2.75
P6,STABLE_GROUP,dRel,24908,2.01690673828125,3.266712951660156,3.774299335479736,4.737312870025635,6.804691314697266
P6,STABLE_GROUP,yRel,24908,0.125,0.59375,0.8125,1.28125,4.46875
P6,STABLE_GROUP,vRel,24908,0.0,0.25,0.5,0.75,1.75
