policy,case,frame,pid,tracking_representative,published_surface,members,tracking_unchanged,stale,reason,fresh
P0,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P0,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P0,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,D_A_B_A,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P0,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P0,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
