scan,scan_ns,pid,members,representative,d,y,v,published,alias
0,1347345050240,1000845,822,822,18.75,-2.9375,-9.0,1,76
1,1347444707286,1000845,822,822,18.25,-2.8125,-9.0,0,
2,1347544856239,1000845,822,822,18.25,-2.6875,-9.0,0,
3,1347644824319,1000845,822,822,17.5,-2.84375,-8.75,0,
4,1347744608878,1000845,822,822,16.75,-2.78125,-8.75,1,76
5,1347844354266,1000845,822,822,16.0,-2.625,-9.0,1,76
6,1347945103715,1000845,822,822,15.25,-2.5625,-9.0,1,76
7,1348044806345,1000845,822,822,13.75,-2.40625,-9.0,1,76
8,1348146430849,1000845,822,822,13.25,-2.375,-9.0,1,76
9,1348246664639,1000845,822,822,12.5,-2.28125,-9.0,1,76
10,1348345117576,1000845,822,822,11.75,-2.1875,-9.0,1,76
