key,policy,pid,scan,scan_ns,stable_members,old_raw,new_raw,abs_delta_d,abs_delta_y,abs_delta_v
00000257--d1cacb63a0--14,P5,1000561,424,968334517272,0,528,529,1.8952178955078125,6.5625,0.0
00000267--5bcd0e5bb8--0,P1,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000267--5bcd0e5bb8--0,P2,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000267--5bcd0e5bb8--0,P3,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000267--5bcd0e5bb8--0,P4,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000267--5bcd0e5bb8--0,P5,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000267--5bcd0e5bb8--0,P6,1000002,378,2244745711604,0,3,41,2.997494697570801,5.625,0.25
00000247--b657952782--14,P1,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P1,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000247--b657952782--14,P2,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P2,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000247--b657952782--14,P3,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P3,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000247--b657952782--14,P4,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P4,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000247--b657952782--14,P5,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P5,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000247--b657952782--14,P6,1000288,281,939173711205,0,281,282,1.2556610107421875,5.0625,0.25
00000286--de6bd2c087--29,P6,1000066,95,4968286337489,0,65,75,0.7779693603515625,5.0625,0.25
00000280--91181081d4--14,P5,1000038,96,3314900607553,0,39,57,3.5858154296875,5.03125,0.0
00000247--b657952782--2,P1,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000285--27dca1de75--30,P1,1000088,139,1982002604740,1,83,87,3.7829132080078125,4.9375,1.25
00000247--b657952782--2,P2,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000247--b657952782--2,P3,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000247--b657952782--2,P4,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000285--27dca1de75--30,P4,1000088,139,1982002604740,1,83,87,3.7829132080078125,4.9375,1.25
00000247--b657952782--2,P5,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000247--b657952782--2,P6,1000297,227,213842575776,0,247,244,0.5455741882324219,4.9375,1.75
00000250--8354d55131--1,P1,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P1,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
0000027f--cb2a133365--2,P1,1000174,129,205248589862,0,170,160,1.7845840454101562,3.53125,2.75
00000250--8354d55131--1,P2,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P2,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
0000027f--cb2a133365--2,P2,1000174,129,205248589862,0,170,160,1.7845840454101562,3.53125,2.75
00000250--8354d55131--1,P3,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P3,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
0000027f--cb2a133365--2,P3,1000174,129,205248589862,0,170,160,1.7845840454101562,3.53125,2.75
00000250--8354d55131--1,P4,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P4,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
0000027f--cb2a133365--2,P4,1000174,129,205248589862,0,170,160,1.7845840454101562,3.53125,2.75
00000250--8354d55131--1,P5,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P5,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
00000250--8354d55131--1,P6,1000691,410,156927671634,0,666,639,2.7349891662597656,3.46875,2.75
00000255--d1d0ee73c5--39,P6,1000720,541,6147230358745,0,640,642,3.7913894653320312,2.59375,2.75
0000027f--cb2a133365--2,P6,1000174,129,205248589862,0,170,160,1.7845840454101562,3.53125,2.75
00000257--d1cacb63a0--4,P1,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000257--d1cacb63a0--4,P2,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000257--d1cacb63a0--4,P3,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000257--d1cacb63a0--4,P4,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000257--d1cacb63a0--4,P5,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000257--d1cacb63a0--4,P6,1000160,407,366543429981,0,150,155,1.7643814086914062,4.65625,0.25
00000254--0ac259250e--6,P1,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
00000254--0ac259250e--6,P2,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
00000254--0ac259250e--6,P3,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
00000254--0ac259250e--6,P4,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
00000247--b657952782--6,P5,1000059,28,433933178327,0,49,50,2.622711181640625,4.53125,2.0
00000254--0ac259250e--6,P5,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
00000254--0ac259250e--6,P6,1000076,42,419791274287,0,71,72,2.162017822265625,4.53125,0.0
0000026b--4dfb361eee--11,P1,1000153,133,2969294293073,1,144,147,2.2361602783203125,4.46875,0.5
0000026b--4dfb361eee--11,P2,1000153,133,2969294293073,1,144,147,2.2361602783203125,4.46875,0.5
0000026b--4dfb361eee--11,P3,1000153,133,2969294293073,1,144,147,2.2361602783203125,4.46875,0.5
