key,policy,pid,pattern,start_scan,end_scan,duration_s,stable_members
00000243--a4d9c0a5dd--0,P0,1000094,A_B_A,120,122,0.200530805,1
00000245--2c15eb5d45--12,P0,1000095,A_B_A,172,179,0.7004098740000001,1
00000245--2c15eb5d45--12,P0,1000095,A_B_A,178,181,0.300230053,1
00000245--2c15eb5d45--12,P0,1000095,A_B_A,180,182,0.199519883,1
00000245--2c15eb5d45--19,P0,1000011,A_B_A,47,49,0.199151249,1
00000245--2c15eb5d45--19,P0,1000083,A_B_A,78,81,0.29890961600000004,1
00000245--2c15eb5d45--19,P0,1000150,A_B_A,83,85,0.19912469100000002,1
00000245--2c15eb5d45--19,P0,1000150,A_B_A,84,87,0.30051509400000004,1
00000245--2c15eb5d45--19,P0,1000209,A_B_A,147,149,0.19982065400000001,1
00000245--2c15eb5d45--19,P0,1000209,A_B_A,148,151,0.30004705600000003,1
00000245--2c15eb5d45--19,P0,1000643,A_B_A,508,510,0.20023674200000002,1
00000245--2c15eb5d45--19,P0,1000643,A_B_A,509,513,0.399066346,1
00000245--2c15eb5d45--19,P0,1000643,A_B_A,512,542,2.9993546290000004,1
00000245--2c15eb5d45--19,P0,1000784,A_B_A,567,569,0.199449327,1
00000245--2c15eb5d45--19,P0,1000784,A_B_A,568,572,0.400002038,1
00000245--2c15eb5d45--19,P0,1000784,A_B_A,571,573,0.20113692800000002,1
00000245--2c15eb5d45--19,P0,1000784,A_B_A,572,576,0.399231738,1
00000245--2c15eb5d45--19,P0,1000809,A_B_A,583,586,0.299532951,1
00000245--2c15eb5d45--21,P0,1000055,A_B_A,40,42,0.20013475,1
00000245--2c15eb5d45--21,P0,1000058,A_B_A,40,42,0.20013475,1
00000245--2c15eb5d45--21,P0,1000073,A_B_A,65,67,0.200220278,1
00000245--2c15eb5d45--21,P0,1000627,A_B_A,490,494,0.39020916600000005,1
00000245--2c15eb5d45--7,P0,1000028,A_B_A,10,19,0.900417855,1
00000245--2c15eb5d45--7,P0,1000028,A_B_A,18,20,0.19857390300000002,1
00000245--2c15eb5d45--7,P0,1000014,A_B_A,18,20,0.19857390300000002,1
00000245--2c15eb5d45--7,P0,1000079,A_B_A,40,42,0.200388955,1
00000245--2c15eb5d45--7,P0,1000078,A_B_A,39,41,0.200067358,1
00000245--2c15eb5d45--7,P0,1000089,A_B_A,40,42,0.200388955,1
00000245--2c15eb5d45--7,P0,1000138,A_B_A,63,65,0.20130684100000001,1
00000245--2c15eb5d45--7,P0,1000138,A_B_A,64,78,1.400284367,1
00000245--2c15eb5d45--7,P0,1000138,A_B_A,77,79,0.199764203,1
00000245--2c15eb5d45--7,P0,1000138,A_B_A,78,80,0.19967952,1
00000245--2c15eb5d45--7,P0,1000138,A_B_A,79,82,0.302102702,1
00000245--2c15eb5d45--7,P0,1000179,A_B_A,91,93,0.20039156900000002,1
00000245--2c15eb5d45--7,P0,1000179,A_B_A,92,99,0.700219424,1
00000245--2c15eb5d45--7,P0,1000257,A_B_A,183,185,0.19949724200000002,1
00000245--2c15eb5d45--7,P0,1000257,A_B_A,184,188,0.399953194,1
00000245--2c15eb5d45--7,P0,1000452,A_B_A,359,363,0.39995392500000004,1
00000245--2c15eb5d45--7,P0,1000564,A_B_A,447,449,0.20059599,1
00000245--2c15eb5d45--7,P0,1000564,A_B_A,448,450,0.200562867,1
00000245--2c15eb5d45--7,P0,1000587,A_B_A,461,463,0.19965470000000002,1
00000245--2c15eb5d45--7,P0,1000587,A_B_A,462,466,0.40172796200000005,1
00000245--2c15eb5d45--7,P0,1000704,A_B_A,555,557,0.20002171900000001,1
00000245--2c15eb5d45--7,P0,1000704,A_B_A,556,558,0.199506132,1
00000245--2c15eb5d45--7,P0,1000704,A_B_A,557,559,0.199440095,1
00000245--2c15eb5d45--7,P0,1000704,A_B_A,558,560,0.20025852500000002,1
00000245--2c15eb5d45--7,P0,1000738,A_B_A,587,589,0.19977634000000002,1
00000247--b657952782--15,P0,1000531,A_B_A,506,509,0.29990545900000004,1
00000247--b657952782--16,P0,1000080,A_B_A,86,89,0.300142858,1
00000247--b657952782--16,P0,1000095,A_B_A,94,108,1.3996304460000002,1
00000247--b657952782--17,P0,1000393,A_B_A,317,319,0.199499543,1
00000247--b657952782--17,P0,1000378,A_B_A,317,319,0.199499543,1
00000247--b657952782--17,P0,1000405,A_B_A,318,320,0.19938396500000002,1
00000247--b657952782--17,P0,1000405,A_B_A,319,321,0.20032286700000002,1
00000247--b657952782--17,P0,1000469,A_B_A,408,410,0.19906621700000002,1
