key,policy,scan,scan_ns,pid,baseline_raw,candidate_raw,delta_d,delta_y,delta_v,aLead,reason
00000243--a4d9c0a5dd--0,P2,121,169602823762,1000094,95,99,-1.6310348510742188,0.625,0.25,-0.22706427111630567,P2_CAUSAL_PINGPONG
00000243--a4d9c0a5dd--0,P2,556,213113626980,1000450,421,397,2.0,-0.125,0.0,-0.28453295019803987,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--12,P2,25,778428828018,1000012,13,16,0.75,-0.03125,0.0,-0.4492701732020873,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,93,1205200155262,1000150,148,147,-1.25,0.09375,0.0,0.00027896562765683335,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,141,1210000290326,1000238,229,245,0.25,-0.5625,0.0,0.024417108993550003,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,142,1210099339394,1000238,229,245,-0.005615234375,-0.59375,-0.25,0.40334085466271435,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,508,1246699869989,1000643,612,629,-1.2444839477539062,-0.03125,0.25,-0.2504642379036165,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,569,1252799222832,1000784,765,749,-0.5,-0.15625,0.0,-0.4867634559866257,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,582,1254098693784,1000784,765,749,-0.48282384872436523,-0.40625,0.75,-1.4331777848312635,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--19,P2,588,1254700779678,1000809,786,777,-0.26055145263671875,-1.21875,-0.5,-1.8246005010753463,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--32,P2,281,2004109056768,1000168,159,163,0.006046295166015625,-0.625,0.25,-1.4580511918845114,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--32,P2,282,2004209388901,1000168,159,163,0.0,-0.59375,0.0,-1.1137840734335231,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,24,478359025875,1000014,15,36,-2.25,-0.15625,0.0,-0.03805557994774139,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,41,480059238938,1000079,75,97,-1.75,-0.15625,0.0,-0.19303026976946358,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,41,480059238938,1000089,84,86,-1.75,-0.125,0.0,0.05140657367502504,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,50,480959844288,1000079,75,97,-1.7444968223571777,-0.25,0.25,-0.40204492906752587,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,55,481459654074,1000099,94,95,0.75,-0.0625,0.0,-0.5843963626714627,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,90,484958890624,1000174,172,166,-2.2613582611083984,-0.21875,-0.5,0.9350429909354114,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,178,493759840952,1000257,246,248,-0.5,-0.15625,0.0,0.09757165861595946,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,189,494859645865,1000257,248,246,0.75,0.125,0.0,-0.14905327671617846,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,219,497859661120,1000333,314,322,1.75,0.03125,0.0,0.24268898723086565,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,363,512259405322,1000452,444,431,-0.5000019073486328,0.0625,0.0,0.0046202991706375054,P2_CAUSAL_PINGPONG
00000245--2c15eb5d45--7,P2,364,512359018771,1000452,444,431,-1.0,-0.0625,0.0,-0.04011716676640151,P2_CAUSAL_PINGPONG
