key,scan,scan_ns,policy,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000243--a4d9c0a5dd--0,201,177593511568,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,202,177693232276,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,203,177792901767,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,204,177893419091,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,205,177992775478,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,206,178092580089,P5,LEAD_COORDINATE_ONLY,57,57,-1,-1
00000243--a4d9c0a5dd--0,220,179492438436,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,221,179592641189,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,222,179694974331,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,223,179793224633,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,224,179893404197,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,225,179993078716,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,226,180092669444,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,227,180192949850,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,228,180293174412,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,229,180403458253,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,230,180493361577,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,231,180593624984,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,232,180693298930,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,233,180802583621,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,234,180903320804,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,235,181003016758,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,236,181094489253,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,237,181194492153,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000243--a4d9c0a5dd--0,238,181294063338,P5,LEAD_COORDINATE_ONLY,94,94,-1,-1
00000247--b657952782--1,367,167763827908,P5,LEAD_GAIN,-1,32,-1,-1
00000247--b657952782--15,349,1005963062655,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,350,1006063238002,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,351,1006162219432,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,352,1006263071498,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,353,1006362491905,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,354,1006462604810,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,355,1006563147890,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,356,1006662858326,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,357,1006763075546,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,358,1006862997372,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,359,1006962617191,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,360,1007063097359,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,361,1007165222190,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,362,1007264552189,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,363,1007363249528,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,364,1007463114850,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,365,1007563131618,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--15,366,1007663106930,P5,LEAD_COORDINATE_ONLY,95,95,-1,-1
00000247--b657952782--2,223,213442915694,P5,LEAD_COORDINATE_ONLY,93,93,-1,-1
00000247--b657952782--36,471,2278222956951,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--36,472,2278323253069,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--36,473,2278422500019,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--36,474,2278523085646,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--36,485,2279622314042,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--36,486,2279723181212,P5,LEAD_COORDINATE_ONLY,56,56,-1,-1
00000247--b657952782--39,150,2426134663327,P5,LEAD_COORDINATE_ONLY,45,45,-1,-1
00000247--b657952782--39,226,2433732879495,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,227,2433833111366,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,262,2437332936397,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,263,2437434002472,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,264,2437534185694,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,265,2437632406225,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,266,2437732339541,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,267,2437832758399,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,268,2437932909225,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,269,2438033107500,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
00000247--b657952782--39,270,2438133196969,P5,LEAD_COORDINATE_ONLY,86,86,-1,-1
