key,policy,scans,aLead_changed_scans,lead_aLead_changed
00000243--a4d9c0a5dd--0,E,621,144,0
00000243--a4d9c0a5dd--0,E1,621,0,0
00000243--a4d9c0a5dd--0,E2,621,144,0
00000243--a4d9c0a5dd--0,E3,621,144,0
00000243--a4d9c0a5dd--0,E4,621,20,0
00000243--a4d9c0a5dd--0,E5,621,507,231
00000245--2c15eb5d45--12,E,600,11,0
00000245--2c15eb5d45--12,E1,600,0,0
00000245--2c15eb5d45--12,E2,600,11,0
00000245--2c15eb5d45--12,E3,600,11,0
00000245--2c15eb5d45--12,E4,600,0,0
00000245--2c15eb5d45--12,E5,600,86,0
00000245--2c15eb5d45--19,E,600,163,0
00000245--2c15eb5d45--19,E1,600,12,0
00000245--2c15eb5d45--19,E2,600,173,0
00000245--2c15eb5d45--19,E3,600,173,0
00000245--2c15eb5d45--19,E4,600,26,0
00000245--2c15eb5d45--19,E5,600,399,0
00000245--2c15eb5d45--21,E,600,25,0
00000245--2c15eb5d45--21,E1,600,0,0
00000245--2c15eb5d45--21,E2,600,25,0
00000245--2c15eb5d45--21,E3,600,25,0
00000245--2c15eb5d45--21,E4,600,0,0
00000245--2c15eb5d45--21,E5,600,415,0
00000245--2c15eb5d45--32,E,600,29,0
00000245--2c15eb5d45--32,E1,600,10,0
00000245--2c15eb5d45--32,E2,600,10,0
00000245--2c15eb5d45--32,E3,600,10,0
00000245--2c15eb5d45--32,E4,600,0,0
00000245--2c15eb5d45--32,E5,600,248,0
00000245--2c15eb5d45--7,E,600,46,0
00000245--2c15eb5d45--7,E1,600,5,0
00000245--2c15eb5d45--7,E2,600,34,0
00000245--2c15eb5d45--7,E3,600,34,0
00000245--2c15eb5d45--7,E4,600,23,0
00000245--2c15eb5d45--7,E5,600,312,0
00000247--b657952782--0,E,619,140,0
00000247--b657952782--0,E1,619,0,0
00000247--b657952782--0,E2,619,140,0
00000247--b657952782--0,E3,619,140,0
00000247--b657952782--0,E4,619,0,0
00000247--b657952782--0,E5,619,450,0
00000247--b657952782--1,E,600,169,0
00000247--b657952782--1,E1,600,35,0
00000247--b657952782--1,E2,600,136,0
00000247--b657952782--1,E3,600,136,0
00000247--b657952782--1,E4,600,37,0
00000247--b657952782--1,E5,600,511,0
00000247--b657952782--10,E,600,0,0
00000247--b657952782--10,E1,600,0,0
00000247--b657952782--10,E2,600,0,0
00000247--b657952782--10,E3,600,0,0
00000247--b657952782--10,E4,600,0,0
00000247--b657952782--10,E5,600,141,0
00000247--b657952782--11,E,600,0,0
00000247--b657952782--11,E1,600,0,0
00000247--b657952782--11,E2,600,0,0
00000247--b657952782--11,E3,600,0,0
00000247--b657952782--11,E4,600,0,0
00000247--b657952782--11,E5,600,515,0
00000247--b657952782--12,E,600,22,0
00000247--b657952782--12,E1,600,0,0
00000247--b657952782--12,E2,600,22,0
00000247--b657952782--12,E3,600,22,0
00000247--b657952782--12,E4,600,0,0
00000247--b657952782--12,E5,600,536,0
00000247--b657952782--13,E,600,51,0
00000247--b657952782--13,E1,600,0,0
00000247--b657952782--13,E2,600,51,0
00000247--b657952782--13,E3,600,51,0
00000247--b657952782--13,E4,600,0,0
00000247--b657952782--13,E5,600,338,0
00000247--b657952782--14,E,600,52,0
00000247--b657952782--14,E1,600,0,0
00000247--b657952782--14,E2,600,52,0
00000247--b657952782--14,E3,600,52,0
00000247--b657952782--14,E4,600,25,0
00000247--b657952782--14,E5,600,258,0
00000247--b657952782--15,E,600,41,0
00000247--b657952782--15,E1,600,0,0
00000247--b657952782--15,E2,600,39,0
00000247--b657952782--15,E3,600,39,0
00000247--b657952782--15,E4,600,32,0
00000247--b657952782--15,E5,600,336,220
00000247--b657952782--16,E,600,36,0
00000247--b657952782--16,E1,600,12,0
00000247--b657952782--16,E2,600,12,0
00000247--b657952782--16,E3,600,12,0
00000247--b657952782--16,E4,600,0,0
00000247--b657952782--16,E5,600,61,0
00000247--b657952782--17,E,600,5,0
00000247--b657952782--17,E1,600,0,0
00000247--b657952782--17,E2,600,5,0
00000247--b657952782--17,E3,600,5,0
00000247--b657952782--17,E4,600,5,0
00000247--b657952782--17,E5,600,369,0
00000247--b657952782--18,E,600,3,0
00000247--b657952782--18,E1,600,0,0
00000247--b657952782--18,E2,600,0,0
00000247--b657952782--18,E3,600,0,0
00000247--b657952782--18,E4,600,0,0
00000247--b657952782--18,E5,600,199,0
