key,policy,scans,baseline_rep_changes,candidate_rep_changes,suppressed_transitions,suppressed_pingpong_returns,grouping_mismatch,pid_mismatch,member_mismatch,stale_representative,publication_changed_scans,legacy_p1_publication_changed_scans,publication_set_changed_scans,alias_changed_scans,aLead_changed_scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed,state_peak,cutin_delay_ms,cutin_target_coordinate_changed_scans,route2bc_window_scans,route2bc_window_regression_scans,route2bc_window_rep_changes,p0_publication_duration_delta_scans
00000243--a4d9c0a5dd--0,E,621,64,54,11,5,0,126,126,0,269,269,126,238,144,0,0,0,0,0,0,0,0,0,,,,,,
00000245--2c15eb5d45--12,E,600,39,35,6,3,0,0,0,0,6,6,0,0,11,0,0,0,0,0,0,0,0,0,,,,,,
00000245--2c15eb5d45--19,E,600,133,115,25,14,0,42,42,0,253,253,34,235,163,0,0,0,0,0,0,0,0,0,,,,,,
00000245--2c15eb5d45--21,E,600,170,164,7,4,0,0,0,0,7,7,0,0,25,0,0,0,0,0,0,0,0,0,,,,,,
00000245--2c15eb5d45--32,E,600,27,27,2,1,0,0,0,0,5,5,0,0,29,0,0,0,0,0,0,0,0,0,,,,,,
00000245--2c15eb5d45--7,E,600,170,151,27,19,0,2,2,0,296,296,2,275,46,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--0,E,619,112,88,26,11,0,2,2,0,86,86,4,4,140,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--1,E,600,145,123,27,13,0,38,38,0,309,309,25,239,169,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--10,E,600,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--11,E,600,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--12,E,600,42,39,4,2,0,0,0,0,15,15,0,0,22,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--13,E,600,76,73,6,2,0,0,0,0,33,33,0,0,51,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--14,E,600,37,34,4,0,0,51,51,0,112,112,37,82,52,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--15,E,600,53,49,5,1,0,13,13,0,108,108,12,99,41,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--16,E,600,36,32,6,3,0,0,0,0,9,9,0,0,36,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--17,E,600,115,113,4,2,0,19,19,0,28,28,18,18,5,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--18,E,600,60,58,3,1,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--19,E,600,61,57,5,4,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--2,E,599,76,66,12,4,0,279,279,0,330,330,268,317,234,59,59,0,59,0,0,0,0,0,,,,,,
00000247--b657952782--20,E,600,99,89,10,5,0,2,2,0,18,18,0,0,22,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--21,E,600,62,55,9,7,0,0,0,0,9,9,0,0,27,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--22,E,600,79,75,7,3,0,1,1,0,312,312,1,282,98,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--23,E,600,35,26,10,5,0,2,2,0,65,65,2,50,49,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--24,E,600,250,219,33,23,0,8,8,0,177,177,2,164,137,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--25,E,600,293,239,60,48,0,21,21,0,291,291,9,260,81,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--26,E,600,196,195,2,0,0,22,22,0,141,141,21,137,12,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--27,E,600,248,213,43,27,0,1,1,0,50,50,0,0,84,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--28,E,600,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--29,E,600,136,119,20,9,0,5,5,0,128,128,5,96,47,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--3,E,600,33,21,13,9,0,0,0,0,15,15,0,0,39,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--30,E,599,57,54,4,3,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--31,E,600,139,139,1,0,0,0,0,0,7,7,0,0,13,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--32,E,599,81,72,10,3,0,71,71,0,397,397,71,387,59,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--33,E,599,34,28,6,2,0,28,28,0,159,159,27,155,50,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--34,E,599,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--35,E,599,34,30,4,2,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--36,E,599,45,38,6,1,0,396,396,0,401,401,396,396,280,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--37,E,599,19,17,3,1,0,0,0,0,2,2,0,0,14,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--38,E,599,73,64,11,5,0,0,0,0,29,29,0,0,97,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--39,E,585,37,37,1,0,0,0,0,0,1,1,0,0,20,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--4,E,599,15,13,2,1,0,0,0,0,12,12,0,0,18,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--5,E,599,58,52,8,3,0,0,0,0,13,13,0,0,46,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--6,E,600,79,59,23,16,0,43,43,0,189,189,41,184,126,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--7,E,600,47,36,11,9,0,8,8,0,18,18,1,1,40,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--8,E,599,20,17,5,3,0,317,317,0,328,328,313,313,155,0,0,0,0,0,0,0,0,0,,,,,,
00000247--b657952782--9,E,600,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000250--8354d55131--0,E,621,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000250--8354d55131--1,E,599,94,91,3,1,0,0,0,0,10,10,0,0,53,0,0,0,0,0,0,0,0,0,,,,,,
00000250--8354d55131--2,E,377,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000252--d191bee66c--0,E,617,50,45,6,3,0,0,0,0,42,42,0,0,60,8,8,0,3,2,0,0,3,0,,,,,,
00000252--d191bee66c--1,E,600,36,34,3,0,0,363,363,0,367,367,363,363,85,305,305,0,305,0,0,0,0,0,,,,,,
00000252--d191bee66c--2,E,333,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
00000254--0ac259250e--0,E,620,51,49,3,1,0,0,0,0,3,3,0,0,29,0,0,0,0,0,0,0,0,0,,,,,,
00000254--0ac259250e--1,E,600,85,75,12,5,0,11,11,0,92,92,9,68,79,0,0,0,0,0,0,0,0,0,,,,,,
00000254--0ac259250e--10,E,599,28,21,8,3,0,0,0,0,12,12,0,0,72,0,0,0,0,0,0,0,0,0,,,,,,
00000254--0ac259250e--11,E,599,83,64,23,12,0,29,29,0,302,302,28,276,116,0,0,0,0,0,0,0,0,0,,,,,,
