key,policy,cutoff,expected_scans,actual_scans,pass
00000269--4014745f93--7,E1,25,150,150,1
00000269--4014745f93--7,E1,50,300,300,1
00000269--4014745f93--7,E1,75,450,450,1
00000269--4014745f93--7,E1,EVENT_407,408,408,1
00000269--4014745f93--7,E1,100,600,600,1
00000269--4014745f93--7,E2,25,150,150,1
00000269--4014745f93--7,E2,50,300,300,1
00000269--4014745f93--7,E2,75,450,450,1
00000269--4014745f93--7,E2,EVENT_407,408,408,1
00000269--4014745f93--7,E2,100,600,600,1
00000269--4014745f93--7,E3,25,150,150,1
00000269--4014745f93--7,E3,50,300,300,1
00000269--4014745f93--7,E3,75,450,450,1
00000269--4014745f93--7,E3,EVENT_407,408,408,1
00000269--4014745f93--7,E3,100,600,600,1
00000269--4014745f93--7,E4,25,150,150,1
00000269--4014745f93--7,E4,50,300,300,1
00000269--4014745f93--7,E4,75,450,450,1
00000269--4014745f93--7,E4,EVENT_407,408,408,1
00000269--4014745f93--7,E4,100,600,600,1
00000280--91181081d4--15,E1,25,150,150,1
00000280--91181081d4--15,E1,50,300,300,1
00000280--91181081d4--15,E1,75,450,450,1
00000280--91181081d4--15,E1,100,599,599,1
00000280--91181081d4--15,E2,25,150,150,1
00000280--91181081d4--15,E2,50,300,300,1
00000280--91181081d4--15,E2,75,450,450,1
00000280--91181081d4--15,E2,100,599,599,1
00000280--91181081d4--15,E3,25,150,150,1
00000280--91181081d4--15,E3,50,300,300,1
00000280--91181081d4--15,E3,75,450,450,1
00000280--91181081d4--15,E3,100,599,599,1
00000280--91181081d4--15,E4,25,150,150,1
00000280--91181081d4--15,E4,50,300,300,1
00000280--91181081d4--15,E4,75,450,450,1
00000280--91181081d4--15,E4,100,599,599,1
00000243--a4d9c0a5dd--0,E1,25,156,156,1
00000243--a4d9c0a5dd--0,E1,50,311,311,1
00000243--a4d9c0a5dd--0,E1,75,466,466,1
00000243--a4d9c0a5dd--0,E1,100,621,621,1
00000243--a4d9c0a5dd--0,E2,25,156,156,1
00000243--a4d9c0a5dd--0,E2,50,311,311,1
00000243--a4d9c0a5dd--0,E2,75,466,466,1
00000243--a4d9c0a5dd--0,E2,100,621,621,1
00000243--a4d9c0a5dd--0,E3,25,156,156,1
00000243--a4d9c0a5dd--0,E3,50,311,311,1
00000243--a4d9c0a5dd--0,E3,75,466,466,1
00000243--a4d9c0a5dd--0,E3,100,621,621,1
00000243--a4d9c0a5dd--0,E4,25,156,156,1
00000243--a4d9c0a5dd--0,E4,50,311,311,1
00000243--a4d9c0a5dd--0,E4,75,466,466,1
00000243--a4d9c0a5dd--0,E4,100,621,621,1
0000026d--2363789071--20,E1,25,150,150,1
0000026d--2363789071--20,E1,50,300,300,1
0000026d--2363789071--20,E1,75,450,450,1
0000026d--2363789071--20,E1,100,600,600,1
0000026d--2363789071--20,E2,25,150,150,1
0000026d--2363789071--20,E2,50,300,300,1
0000026d--2363789071--20,E2,75,450,450,1
0000026d--2363789071--20,E2,100,600,600,1
0000026d--2363789071--20,E3,25,150,150,1
0000026d--2363789071--20,E3,50,300,300,1
0000026d--2363789071--20,E3,75,450,450,1
0000026d--2363789071--20,E3,100,600,600,1
0000026d--2363789071--20,E4,25,150,150,1
0000026d--2363789071--20,E4,50,300,300,1
0000026d--2363789071--20,E4,75,450,450,1
0000026d--2363789071--20,E4,100,600,600,1
