start_scan,end_scan,scans,duration_s,key,policy
93,102,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E
119,182,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E
184,241,58,5.709334718,00000243--a4d9c0a5dd--0,E
278,278,1,0.0,00000243--a4d9c0a5dd--0,E
281,281,1,0.0,00000243--a4d9c0a5dd--0,E
283,284,2,0.100256592,00000243--a4d9c0a5dd--0,E
290,291,2,0.101175022,00000243--a4d9c0a5dd--0,E
293,294,2,0.10019059100000001,00000243--a4d9c0a5dd--0,E
351,399,49,4.799542151000001,00000243--a4d9c0a5dd--0,E
423,424,2,0.10017743500000001,00000243--a4d9c0a5dd--0,E
428,428,1,0.0,00000243--a4d9c0a5dd--0,E
431,433,3,0.20037048500000001,00000243--a4d9c0a5dd--0,E
453,459,7,0.600974831,00000243--a4d9c0a5dd--0,E
461,466,6,0.500103717,00000243--a4d9c0a5dd--0,E
495,495,1,0.0,00000243--a4d9c0a5dd--0,E
512,512,1,0.0,00000243--a4d9c0a5dd--0,E
518,519,2,0.100178691,00000243--a4d9c0a5dd--0,E
534,537,4,0.299560253,00000243--a4d9c0a5dd--0,E
543,574,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E
598,599,2,0.090189854,00000243--a4d9c0a5dd--0,E
601,603,3,0.20138930400000002,00000243--a4d9c0a5dd--0,E
605,620,16,1.4987798,00000243--a4d9c0a5dd--0,E
93,102,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E2
119,182,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E2
184,241,58,5.709334718,00000243--a4d9c0a5dd--0,E2
278,278,1,0.0,00000243--a4d9c0a5dd--0,E2
281,281,1,0.0,00000243--a4d9c0a5dd--0,E2
283,284,2,0.100256592,00000243--a4d9c0a5dd--0,E2
290,291,2,0.101175022,00000243--a4d9c0a5dd--0,E2
293,294,2,0.10019059100000001,00000243--a4d9c0a5dd--0,E2
351,399,49,4.799542151000001,00000243--a4d9c0a5dd--0,E2
423,424,2,0.10017743500000001,00000243--a4d9c0a5dd--0,E2
428,428,1,0.0,00000243--a4d9c0a5dd--0,E2
431,433,3,0.20037048500000001,00000243--a4d9c0a5dd--0,E2
453,459,7,0.600974831,00000243--a4d9c0a5dd--0,E2
461,466,6,0.500103717,00000243--a4d9c0a5dd--0,E2
495,495,1,0.0,00000243--a4d9c0a5dd--0,E2
512,512,1,0.0,00000243--a4d9c0a5dd--0,E2
518,519,2,0.100178691,00000243--a4d9c0a5dd--0,E2
534,537,4,0.299560253,00000243--a4d9c0a5dd--0,E2
543,574,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E2
598,599,2,0.090189854,00000243--a4d9c0a5dd--0,E2
601,603,3,0.20138930400000002,00000243--a4d9c0a5dd--0,E2
605,620,16,1.4987798,00000243--a4d9c0a5dd--0,E2
93,102,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E3
119,182,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E3
184,241,58,5.709334718,00000243--a4d9c0a5dd--0,E3
278,278,1,0.0,00000243--a4d9c0a5dd--0,E3
281,281,1,0.0,00000243--a4d9c0a5dd--0,E3
283,284,2,0.100256592,00000243--a4d9c0a5dd--0,E3
290,291,2,0.101175022,00000243--a4d9c0a5dd--0,E3
293,294,2,0.10019059100000001,00000243--a4d9c0a5dd--0,E3
351,399,49,4.799542151000001,00000243--a4d9c0a5dd--0,E3
423,424,2,0.10017743500000001,00000243--a4d9c0a5dd--0,E3
428,428,1,0.0,00000243--a4d9c0a5dd--0,E3
431,433,3,0.20037048500000001,00000243--a4d9c0a5dd--0,E3
453,459,7,0.600974831,00000243--a4d9c0a5dd--0,E3
461,466,6,0.500103717,00000243--a4d9c0a5dd--0,E3
495,495,1,0.0,00000243--a4d9c0a5dd--0,E3
512,512,1,0.0,00000243--a4d9c0a5dd--0,E3
518,519,2,0.100178691,00000243--a4d9c0a5dd--0,E3
534,537,4,0.299560253,00000243--a4d9c0a5dd--0,E3
543,574,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E3
598,599,2,0.090189854,00000243--a4d9c0a5dd--0,E3
601,603,3,0.20138930400000002,00000243--a4d9c0a5dd--0,E3
605,620,16,1.4987798,00000243--a4d9c0a5dd--0,E3
93,102,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E4
93,102,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E5
105,182,78,7.68928074,00000243--a4d9c0a5dd--0,E5
184,429,246,24.521643546,00000243--a4d9c0a5dd--0,E5
431,433,3,0.20037048500000001,00000243--a4d9c0a5dd--0,E5
439,439,1,0.0,00000243--a4d9c0a5dd--0,E5
442,449,8,0.701163108,00000243--a4d9c0a5dd--0,E5
453,459,7,0.600974831,00000243--a4d9c0a5dd--0,E5
461,466,6,0.500103717,00000243--a4d9c0a5dd--0,E5
471,505,35,3.400180074,00000243--a4d9c0a5dd--0,E5
508,508,1,0.0,00000243--a4d9c0a5dd--0,E5
512,574,63,6.200155423,00000243--a4d9c0a5dd--0,E5
585,620,36,3.500278679,00000243--a4d9c0a5dd--0,E5
25,25,1,0.0,00000245--2c15eb5d45--12,E
290,290,1,0.0,00000245--2c15eb5d45--12,E
296,297,2,0.10042748300000001,00000245--2c15eb5d45--12,E
375,376,2,0.09967411000000001,00000245--2c15eb5d45--12,E
25,25,1,0.0,00000245--2c15eb5d45--12,E1
25,25,1,0.0,00000245--2c15eb5d45--12,E2
296,297,2,0.10042748300000001,00000245--2c15eb5d45--12,E2
375,376,2,0.09967411000000001,00000245--2c15eb5d45--12,E2
25,25,1,0.0,00000245--2c15eb5d45--12,E3
296,297,2,0.10042748300000001,00000245--2c15eb5d45--12,E3
375,376,2,0.09967411000000001,00000245--2c15eb5d45--12,E3
24,24,1,0.0,00000245--2c15eb5d45--12,E5
171,172,2,0.100180426,00000245--2c15eb5d45--12,E5
179,180,2,0.099898054,00000245--2c15eb5d45--12,E5
182,183,2,0.099937946,00000245--2c15eb5d45--12,E5
