event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000243--a4d9c0a5dd--0:93:1000080,93,1000080,R1_STABLE_GROUP_REP_CHANGE,2.5,0.875,0.25,10,0.9001587010000001,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:103:1000080,103,1000080,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.75,0.5,0,0.0,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:119:1000100,119,1000100,R1_STABLE_GROUP_REP_CHANGE,2.75,0.125,0.0,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:121:1000094,121,1000094,R1_STABLE_GROUP_REP_CHANGE,0.75,0.53125,0.0,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:122:1000094,122,1000094,R1_STABLE_GROUP_REP_CHANGE,1.5,0.625,0.25,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:146:1000094,146,1000094,R5_GROUP_MERGE_REP_CHANGE,2.25,0.46875,0.0,64,6.2894239160000005,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:543:1000427,543,1000427,R1_STABLE_GROUP_REP_CHANGE,1.75,0.375,0.25,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:556:1000450,556,1000450,R1_STABLE_GROUP_REP_CHANGE,2.0,0.125,0.0,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:562:1000459,562,1000459,R1_STABLE_GROUP_REP_CHANGE,2.0,0.1875,0.0,32,3.1001866390000004,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:575:1000459,575,1000459,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.0625,0.0,0,0.0,00000243--a4d9c0a5dd--0,E
00000243--a4d9c0a5dd--0:619:1000475,619,1000475,R1_STABLE_GROUP_REP_CHANGE,1.5,0.21875,0.0,16,1.4987798,00000243--a4d9c0a5dd--0,E
00000245--2c15eb5d45--12:25:1000012,25,1000012,R1_STABLE_GROUP_REP_CHANGE,3.0,0.09375,0.0,1,0.0,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--12:26:1000012,26,1000012,R2_MEMBER_DISAPPEAR_REP_CHANGE,1.0,0.125,0.0,0,0.0,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--12:290:1000165,290,1000165,R5_GROUP_MERGE_REP_CHANGE,2.75,0.125,0.0,1,0.0,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--12:296:1000169,296,1000169,R1_STABLE_GROUP_REP_CHANGE,3.25,0.4375,0.0,2,0.10042748300000001,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--12:375:1000257,375,1000257,R1_STABLE_GROUP_REP_CHANGE,2.25,0.53125,0.0,2,0.09967411000000001,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--12:377:1000257,377,1000257,R1_STABLE_GROUP_REP_CHANGE,3.5,0.46875,0.0,0,0.0,00000245--2c15eb5d45--12,E
00000245--2c15eb5d45--19:64:1000116,64,1000116,R1_STABLE_GROUP_REP_CHANGE,1.0,0.65625,0.0,1,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:65:1000116,65,1000116,R1_STABLE_GROUP_REP_CHANGE,1.5,0.46875,0.0,0,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:71:1000116,71,1000116,R5_GROUP_MERGE_REP_CHANGE,3.0,0.25,0.0,1,0.0,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:93:1000150,93,1000150,R1_STABLE_GROUP_REP_CHANGE,1.0,0.25,0.0,2,0.09997874100000001,00000245--2c15eb5d45--19,E
00000245--2c15eb5d45--19:95:1000150,95,1000150,R1_STABLE_GROUP_REP_CHANGE,1.25,0.34375,0.0,0,0.0,00000245--2c15eb5d45--19,E
