key,policy,scans,radarstate_changed_scans,planner_input_changed_scans,lead_coordinate_only,lead_id_changed,lead_gain,lead_loss,lead1_lead2_change,lead_aLead_changed
00000243--a4d9c0a5dd--0,E,621,0,0,0,0,0,0,0,0
00000243--a4d9c0a5dd--0,E1,621,0,0,0,0,0,0,0,0
00000243--a4d9c0a5dd--0,E2,621,0,0,0,0,0,0,0,0
00000243--a4d9c0a5dd--0,E3,621,0,0,0,0,0,0,0,0
00000243--a4d9c0a5dd--0,E4,621,0,0,0,0,0,0,0,0
00000243--a4d9c0a5dd--0,E5,621,237,237,6,0,0,0,0,231
00000245--2c15eb5d45--12,E,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--12,E1,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--12,E2,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--12,E3,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--12,E4,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--12,E5,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E1,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E2,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E3,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E4,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--19,E5,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E1,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E2,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E3,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E4,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--21,E5,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--32,E,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--32,E1,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--32,E2,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--32,E3,600,0,0,0,0,0,0,0,0
00000245--2c15eb5d45--32,E4,600,0,0,0,0,0,0,0,0
