score_delta_rounded_1e6,count,within_0_25
9.6e-05,1,1
0.000103,1,1
0.00011,1,1
0.000112,1,1
0.000149,1,1
0.000208,1,1
0.000253,1,1
0.000254,1,1
0.000354,1,1
0.000381,1,1
0.00039,1,1
0.000405,1,1
0.000562,1,1
0.000571,1,1
0.000632,1,1
0.000665,1,1
0.000674,1,1
0.000677,1,1
0.00071,1,1
0.000732,1,1
0.000756,1,1
0.0008,1,1
0.000822,1,1
0.000834,1,1
0.000877,1,1
0.000923,1,1
0.000957,1,1
0.000958,1,1
0.000974,1,1
0.000982,1,1
0.000986,1,1
0.001012,1,1
0.001029,1,1
0.001048,1,1
0.001119,1,1
0.00122,1,1
0.00124,1,1
0.001345,1,1
0.001412,1,1
0.001421,1,1
0.001429,1,1
0.001494,1,1
0.001495,1,1
0.001502,1,1
0.001548,1,1
0.001625,1,1
0.00165,1,1
0.001713,1,1
0.001718,1,1
0.001744,1,1
0.00187,1,1
0.001885,1,1
0.001891,2,1
0.001955,1,1
0.00198,1,1
0.002009,1,1
0.002012,1,1
0.002035,1,1
0.002069,1,1
0.002104,1,1
0.002147,1,1
0.002151,1,1
0.002175,1,1
0.002231,1,1
0.002325,1,1
0.002361,1,1
0.002371,1,1
0.002377,1,1
0.002476,1,1
0.002539,1,1
0.002567,1,1
0.002594,1,1
0.00264,1,1
0.002669,1,1
0.002705,1,1
0.002725,1,1
0.002774,1,1
0.002793,1,1
0.002805,1,1
0.002828,1,1
0.002929,1,1
0.002937,1,1
0.002944,1,1
0.002951,1,1
0.00301,1,1
0.003106,1,1
0.003125,1,1
0.003165,1,1
0.003168,1,1
0.003201,1,1
0.003207,1,1
0.003292,1,1
0.003307,1,1
0.003312,1,1
0.003346,1,1
0.003373,1,1
0.003411,1,1
0.003431,1,1
0.00348,1,1
0.003515,1,1
0.003531,1,1
0.003542,1,1
0.003557,1,1
0.003628,1,1
0.003668,1,1
0.003671,2,1
0.003672,1,1
0.003685,1,1
0.003714,1,1
0.003757,1,1
0.003794,1,1
0.003827,1,1
0.003832,1,1
0.003833,1,1
0.003837,1,1
0.003909,1,1
0.003923,1,1
0.003925,1,1
0.004113,1,1
0.00421,1,1
0.004253,1,1
0.004265,1,1
0.004292,1,1
0.004306,1,1
0.00435,1,1
0.004402,1,1
0.004462,1,1
0.004484,1,1
0.004485,1,1
0.004529,1,1
0.004546,1,1
0.004587,1,1
0.004637,1,1
0.004663,1,1
0.004734,1,1
0.004746,1,1
0.004774,1,1
0.004797,1,1
0.004803,1,1
0.004809,1,1
0.004905,1,1
0.004924,1,1
0.004938,1,1
0.004945,1,1
0.005034,1,1
0.00506,1,1
0.005063,1,1
0.005067,1,1
0.00513,1,1
0.005147,1,1
0.005223,1,1
0.005232,1,1
0.005273,1,1
0.005277,1,1
0.005281,1,1
0.005369,1,1
0.005392,1,1
0.005442,1,1
0.005472,1,1
0.005485,1,1
0.005525,1,1
0.005527,1,1
0.005534,1,1
0.00554,1,1
0.005586,1,1
0.005662,1,1
0.005694,1,1
0.005712,2,1
0.005721,1,1
0.005798,1,1
0.005808,1,1
0.005815,1,1
0.005987,2,1
0.006009,1,1
0.006061,1,1
0.006095,1,1
0.006135,1,1
0.006191,1,1
0.006205,1,1
0.00625,1,1
0.006271,1,1
0.006389,1,1
0.006395,2,1
0.006401,1,1
0.006404,1,1
0.006414,1,1
0.00643,1,1
0.006524,1,1
0.006546,1,1
0.006551,1,1
0.006563,1,1
0.006566,1,1
0.006631,1,1
0.006672,1,1
0.00668,1,1
0.006694,1,1
0.006701,1,1
0.006743,1,1
0.006745,1,1
0.006755,1,1
0.006768,1,1
0.006799,1,1
0.0069,1,1
0.006933,1,1
0.006949,1,1
0.006963,1,1
0.007004,1,1
0.007005,1,1
0.007029,1,1
0.007052,1,1
0.007111,1,1
0.007138,1,1
0.007178,1,1
0.007253,1,1
0.007274,1,1
0.007275,1,1
0.007291,1,1
0.007292,1,1
0.0074,1,1
0.007453,2,1
0.007469,1,1
0.007496,1,1
0.007576,1,1
0.007621,1,1
0.007636,1,1
0.007676,1,1
0.007707,1,1
0.007713,1,1
0.007747,1,1
0.007827,1,1
0.007876,1,1
0.007971,1,1
0.007973,1,1
0.00804,1,1
0.008087,1,1
0.008089,1,1
0.008112,1,1
0.008132,1,1
0.008141,1,1
0.008191,1,1
0.008204,1,1
0.00824,1,1
0.008383,1,1
0.008392,1,1
0.008398,1,1
0.008412,1,1
0.008428,1,1
0.008526,1,1
0.008548,1,1
0.008575,1,1
0.008625,1,1
0.008648,1,1
0.008653,1,1
0.008654,1,1
0.008676,1,1
0.008692,1,1
0.008766,1,1
0.008838,1,1
0.008874,1,1
0.008966,1,1
0.008968,1,1
0.009006,1,1
0.009011,1,1
0.009022,1,1
0.009026,1,1
0.009037,1,1
0.009128,1,1
0.009221,1,1
0.009294,1,1
0.009297,1,1
0.009349,1,1
0.009351,1,1
0.009379,1,1
0.009422,1,1
0.009453,1,1
0.009483,1,1
0.009501,2,1
0.009505,1,1
0.009521,1,1
0.009544,1,1
0.009552,1,1
0.00961,1,1
0.009653,1,1
0.009843,1,1
0.009902,1,1
0.009982,1,1
0.009993,1,1
0.01001,1,1
0.010088,1,1
0.010099,1,1
0.010129,1,1
0.010137,1,1
0.010241,2,1
0.010248,1,1
0.010283,1,1
0.010336,1,1
0.010373,1,1
0.010377,1,1
0.010395,1,1
0.010413,1,1
0.010416,1,1
0.010456,1,1
0.010498,1,1
