event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000243--a4d9c0a5dd--0:93:1000080,00000243--a4d9c0a5dd--0,93,166802937368,1000080,R1_STABLE_GROUP_REP_CHANGE,81|83,81|83,81,83,1,0,-2.5,0.875,-0.25,2.5,0.875,0.25,1,1,40,40,P2_PUBLISHED_COORDINATE_CHANGE,-2.6191253662109375,0.875,-0.25,0.0,NO_DOWNSTREAM_EFFECT,0,0.23889316005597117,1.6506965800279856,1.4118034199720144,0,0,0,0,0,2,2,70.25,-10.15625,-16.0,4,67.75,-9.28125,-16.25,5,N/A_NAN,N/A_NAN,70.25,-10.15625,-16.0,5,12,166794205527,67.75,-9.28125,-16.25,4,17,166794205527,0.0,0.0,,,4,0.29906069500000004
00000243--a4d9c0a5dd--0:109:1000090,00000243--a4d9c0a5dd--0,109,168402954697,1000090,R1_STABLE_GROUP_REP_CHANGE,91|100,91|100,100,91,1,0,-1.75,0.21875,0.25,1.75,0.21875,0.25,1,1,68,68,P2_PUBLISHED_COORDINATE_CHANGE,-2.0486907958984375,0.21875,0.25,0.24369872371364898,NO_DOWNSTREAM_EFFECT,0,0.7254410327623546,1.0888162192208064,0.3633751864584518,0,0,0,0,0,2,2,107.25,16.625,-15.25,12,105.5,16.84375,-15.0,13,N/A_NAN,N/A_NAN,104.75,16.75,-15.0,7,17,168393237367,105.5,16.84375,-15.0,13,4,168393237367,0.1507438722366783,0.39444259595032727,,,4,0.29941291400000003
00000243--a4d9c0a5dd--0:112:1000095,00000243--a4d9c0a5dd--0,112,168705200338,1000095,R1_STABLE_GROUP_REP_CHANGE,96|105,96|105,96,105,1,0,-1.75,0.28125,-0.25,1.75,0.28125,0.25,1,1,52,52,P2_PUBLISHED_COORDINATE_CHANGE,-1.7633895874023438,0.28125,-0.25,-0.7512198706788712,NO_DOWNSTREAM_EFFECT,0,1.0678887269786266,1.5417568634893133,0.4738681365106867,0,0,0,0,0,2,2,115.0,13.375,-15.0,13,113.25,13.65625,-15.25,14,N/A_NAN,N/A_NAN,115.0,13.375,-15.0,14,26,168705200338,113.25,13.65625,-15.25,6,27,168705200338,0.03636437107673807,-0.7148554996021331,,,13,1.201432813
00000243--a4d9c0a5dd--0:119:1000100,00000243--a4d9c0a5dd--0,119,169403459478,1000100,R1_STABLE_GROUP_REP_CHANGE,101|103,101|103,101,103,1,0,-2.75,-0.125,0.0,2.75,0.125,0.0,1,1,56,56,P2_PUBLISHED_COORDINATE_CHANGE,-2.8844528198242188,-0.125,0.0,-0.31032595967841914,NO_DOWNSTREAM_EFFECT,0,0.06560757640804127,1.4570918268580884,1.391484250450047,0,0,0,0,0,2,2,128.25,-4.53125,-14.25,15,125.5,-4.65625,-14.25,16,N/A_NAN,N/A_NAN,128.25,-4.53125,-14.25,16,18,169403459478,125.5,-4.65625,-14.25,13,7,169392718333,0.1877383402300531,-0.12258761944836605,,,15,1.399510295
00000243--a4d9c0a5dd--0:121:1000094,00000243--a4d9c0a5dd--0,121,169602823762,1000094,R1_STABLE_GROUP_REP_CHANGE,95|99,95|99,99,95,1,0,-0.75,-0.53125,0.0,0.75,0.53125,0.0,1,1,75,75,P2_PUBLISHED_COORDINATE_CHANGE,-0.7481536865234375,-0.53125,0.0,-0.1715920967890403,NO_DOWNSTREAM_EFFECT,0,0.04833570759301509,0.9929178537965075,0.9445821462034925,0,0,0,0,0,2,2,115.25,11.625,-14.25,22,114.5,11.09375,-14.25,23,N/A_NAN,N/A_NAN,113.0,11.71875,-14.0,19,8,169593057911,114.5,11.09375,-14.25,23,22,169602823762,-0.05547217432726537,-0.22706427111630567,,,16,1.498963775
00000243--a4d9c0a5dd--0:122:1000094,00000243--a4d9c0a5dd--0,122,169703097234,1000094,R1_STABLE_GROUP_REP_CHANGE,95|99,95|99,95,99,1,0,-1.5,0.625,0.25,1.5,0.625,0.25,1,1,75,75,P2_PUBLISHED_COORDINATE_CHANGE,-1.4969329833984375,0.625,0.25,0.31900656002541616,NO_DOWNSTREAM_EFFECT,0,0.9619332508961023,1.4497166254480511,0.48778337455194887,0,0,0,0,0,2,2,114.5,11.09375,-14.25,23,113.0,11.71875,-14.0,24,N/A_NAN,N/A_NAN,114.5,11.09375,-14.25,24,22,169703097234,113.0,11.71875,-14.0,20,8,169692606564,-0.22706427111630567,0.09194228890911049,,,1,0.0
00000243--a4d9c0a5dd--0:138:1000090,00000243--a4d9c0a5dd--0,138,171293627913,1000090,R1_STABLE_GROUP_REP_CHANGE,91|134,91|134,91,134,1,0,-1.5,0.28125,-0.25,1.5,0.28125,0.25,1,1,68,68,P2_PUBLISHED_COORDINATE_CHANGE,-1.3752288818359375,0.28125,-0.25,-0.3668747372329414,NO_DOWNSTREAM_EFFECT,0,0.5040344401938768,1.1348297200969384,0.6307952799030616,0,0,0,0,0,2,2,66.0,17.375,-12.25,41,64.5,17.65625,-12.5,42,N/A_NAN,N/A_NAN,66.0,17.375,-12.25,42,4,171293627913,64.5,17.65625,-12.5,5,14,171293627913,-0.045375127177435526,-0.4122498644103769,,,29,2.800359412
00000243--a4d9c0a5dd--0:162:1000130,00000243--a4d9c0a5dd--0,162,173692851228,1000130,R1_STABLE_GROUP_REP_CHANGE,129|144,129|144,144,129,1,0,-2.0,0.53125,0.0,2.0,0.53125,0.0,1,1,91,91,P2_PUBLISHED_COORDINATE_CHANGE,-2.0002212524414062,0.53125,0.0,0.065327041864927,NO_DOWNSTREAM_EFFECT,0,0.3996102758159257,1.3326176379079628,0.9330073620920372,0,0,0,0,0,2,2,69.75,14.34375,-11.0,31,67.75,14.875,-11.0,32,N/A_NAN,N/A_NAN,69.75,14.34375,-11.0,22,24,173692851228,67.75,14.875,-11.0,32,23,173692851228,-0.22302400954762203,-0.15769696768269503,,,19,1.789878722
00000243--a4d9c0a5dd--0:543:1000427,00000243--a4d9c0a5dd--0,543,211813187350,1000427,R1_STABLE_GROUP_REP_CHANGE,399|403|407,399|403|407,399,403,1,0,-1.75,0.375,-0.25,1.75,0.375,0.25,1,1,73,73,P2_PUBLISHED_COORDINATE_CHANGE,-1.7515144348144531,0.375,-0.25,-0.31029448559812156,NO_DOWNSTREAM_EFFECT,0,0.22540068171837646,1.1439503408591882,0.9185496591408118,0,0,0,0,0,3,3,54.0,11.75,-10.25,22,52.25,12.125,-10.5,23,N/A_NAN,N/A_NAN,54.0,11.75,-10.25,23,15,211813187350,52.25,12.125,-10.5,21,19,211813187350,-0.37938701180186063,-0.6896814973999822,,,22,2.100841437
00000243--a4d9c0a5dd--0:556:1000450,00000243--a4d9c0a5dd--0,556,213113626980,1000450,R1_STABLE_GROUP_REP_CHANGE,397|421,397|421,397,421,1,0,-2.0,0.125,0.0,2.0,0.125,0.0,1,1,75,75,P2_PUBLISHED_COORDINATE_CHANGE,-2.0004730224609375,0.125,0.0,0.1896886334653599,NO_DOWNSTREAM_EFFECT,0,0.00670066025346161,1.0346003301267308,1.0278996698732692,0,0,0,0,0,2,2,27.0,-3.84375,-10.0,15,25.0,-3.71875,-10.0,16,N/A_NAN,N/A_NAN,27.0,-3.84375,-10.0,38,14,213113626980,25.0,-3.71875,-10.0,16,26,213113626980,-0.4742215836633998,-0.28453295019803987,,,11,1.00037511
