policy,case,frame,chosen,members,stale,baseline_best,prior_rep,score_delta,jump_d,jump_y,jump_v,reason,state_size
BASELINE,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
BASELINE,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
BASELINE,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
BASELINE,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
BASELINE,B_MARGINALLY_BETTER_ONE_SCAN,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
BASELINE,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
BASELINE,C_MARGINALLY_BETTER_THREE_SCANS,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,C_MARGINALLY_BETTER_THREE_SCANS,2,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,0
BASELINE,C_MARGINALLY_BETTER_THREE_SCANS,3,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,0
BASELINE,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
BASELINE,D_A_B_A_PINGPONG,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,D_A_B_A_PINGPONG,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
BASELINE,D_A_B_A_PINGPONG,3,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
BASELINE,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
BASELINE,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
BASELINE,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
BASELINE,H_LARGE_D_WEAK_ADVANTAGE,1,2,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,BASELINE_BEST,0
BASELINE,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
BASELINE,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,0
BASELINE,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
BASELINE,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
BASELINE,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
BASELINE,K_INPUT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,K_INPUT_RESET,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
BASELINE,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
BASELINE,L_SEGMENT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
BASELINE,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
BASELINE,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,0
E,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E,B_MARGINALLY_BETTER_ONE_SCAN,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
E,C_MARGINALLY_BETTER_THREE_SCANS,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,C_MARGINALLY_BETTER_THREE_SCANS,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,C_MARGINALLY_BETTER_THREE_SCANS,3,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E,D_A_B_A_PINGPONG,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,D_A_B_A_PINGPONG,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,D_A_B_A_PINGPONG,3,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E,F_STRONG_CAMERA_SUPPORT,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E,G_STRONG_OEM_SUPPORT,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E,H_LARGE_D_WEAK_ADVANTAGE,1,1,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,E_WITHIN_025,0
E,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,0
E,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E,K_INPUT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,K_INPUT_RESET,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E,L_SEGMENT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E_WITHIN_025,0
E,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,0
E1,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E1,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E1,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E1,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E1,B_MARGINALLY_BETTER_ONE_SCAN,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,1
E1,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
