event_id,scan,pid,category,abs_delta_d,abs_delta_y,abs_delta_v,publication_divergence_scans,publication_divergence_duration_s,key,policy
00000266--f9c40304ea--11:10:1000004,10,1000004,R1_STABLE_GROUP_REP_CHANGE,1.0,0.5,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:10:1000007,10,1000007,R1_STABLE_GROUP_REP_CHANGE,0.75,0.125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:10:1000023,10,1000023,R1_STABLE_GROUP_REP_CHANGE,0.75,0.28125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:12:1000036,12,1000036,R5_GROUP_MERGE_REP_CHANGE,2.0,0.0625,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:14:1000036,14,1000036,R4_GROUP_SPLIT_REP_CHANGE,4.5,0.8125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:15:1000007,15,1000007,R1_STABLE_GROUP_REP_CHANGE,2.0,0.0,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:20:1000007,20,1000007,R1_STABLE_GROUP_REP_CHANGE,0.75,0.0,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:20:1000008,20,1000008,R1_STABLE_GROUP_REP_CHANGE,0.75,0.03125,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:25:1000007,25,1000007,R1_STABLE_GROUP_REP_CHANGE,2.0,0.15625,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:25:1000008,25,1000008,R1_STABLE_GROUP_REP_CHANGE,2.0,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:26:1000007,26,1000007,R1_STABLE_GROUP_REP_CHANGE,0.75,0.15625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:27:1000007,27,1000007,R1_STABLE_GROUP_REP_CHANGE,2.0,0.0625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:28:1000002,28,1000002,R1_STABLE_GROUP_REP_CHANGE,0.75,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:28:1000007,28,1000007,R1_STABLE_GROUP_REP_CHANGE,0.75,0.0625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:28:1000008,28,1000008,R1_STABLE_GROUP_REP_CHANGE,0.75,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:28:1000036,28,1000036,R1_STABLE_GROUP_REP_CHANGE,0.75,0.03125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:37:1000007,37,1000007,R1_STABLE_GROUP_REP_CHANGE,1.75,0.03125,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:37:1000036,37,1000036,R1_STABLE_GROUP_REP_CHANGE,2.25,0.3125,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:37:1000058,37,1000058,R1_STABLE_GROUP_REP_CHANGE,2.25,0.125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:38:1000007,38,1000007,R1_STABLE_GROUP_REP_CHANGE,0.75,0.0,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:38:1000034,38,1000034,R1_STABLE_GROUP_REP_CHANGE,0.75,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:39:1000007,39,1000007,R1_STABLE_GROUP_REP_CHANGE,2.5,0.0,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:39:1000034,39,1000034,R1_STABLE_GROUP_REP_CHANGE,2.25,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:41:1000034,41,1000034,R1_STABLE_GROUP_REP_CHANGE,0.75,0.0625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:42:1000034,42,1000034,R1_STABLE_GROUP_REP_CHANGE,2.5,0.0,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:45:1000003,45,1000003,R1_STABLE_GROUP_REP_CHANGE,0.75,0.125,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:45:1000086,45,1000086,R1_STABLE_GROUP_REP_CHANGE,0.75,0.15625,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:47:1000086,47,1000086,R1_STABLE_GROUP_REP_CHANGE,2.5,0.03125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:49:1000092,49,1000092,R5_GROUP_MERGE_REP_CHANGE,2.0,0.125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:56:1000092,56,1000092,R1_STABLE_GROUP_REP_CHANGE,0.75,0.03125,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:57:1000058,57,1000058,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.75,0.21875,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:57:1000092,57,1000092,R1_STABLE_GROUP_REP_CHANGE,2.5,0.03125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:61:1000102,61,1000102,R1_STABLE_GROUP_REP_CHANGE,2.75,0.0,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:63:1000092,63,1000092,R1_STABLE_GROUP_REP_CHANGE,0.75,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:70:1000089,70,1000089,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.46875,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:80:1000130,80,1000130,R1_STABLE_GROUP_REP_CHANGE,0.75,0.03125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:81:1000135,81,1000135,R1_STABLE_GROUP_REP_CHANGE,2.0,0.53125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:84:1000130,84,1000130,R1_STABLE_GROUP_REP_CHANGE,2.0,0.15625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:102:1000130,102,1000130,R2_MEMBER_DISAPPEAR_REP_CHANGE,1.5,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:111:1000185,111,1000185,R2_MEMBER_DISAPPEAR_REP_CHANGE,4.75,0.15625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:112:1000185,112,1000185,R2_MEMBER_DISAPPEAR_REP_CHANGE,1.5,0.09375,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:137:1000217,137,1000217,R1_STABLE_GROUP_REP_CHANGE,2.0,0.0625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:144:1000229,144,1000229,R1_STABLE_GROUP_REP_CHANGE,2.5,0.15625,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:146:1000217,146,1000217,R2_MEMBER_DISAPPEAR_REP_CHANGE,0.5,0.15625,0.25,590,58.88054858300001,00000266--f9c40304ea--11,E
00000266--f9c40304ea--11:159:1000237,159,1000237,R1_STABLE_GROUP_REP_CHANGE,1.0,0.125,0.0,590,58.88054858300001,00000266--f9c40304ea--11,E
