event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000269--4014745f93--7:7:1000002,00000269--4014745f93--7,7,491536554413,1000002,R1_STABLE_GROUP_REP_CHANGE,3|6,3|6,3,6,1,0,-1.75,-0.09375,0.25,1.75,0.09375,0.25,1,1,34,34,P2_PUBLISHED_COORDINATE_CHANGE,-1.7608222961425781,-0.09375,0.25,0.40023786928899696,NO_DOWNSTREAM_EFFECT,0,1.3516895325448859,1.902407266272443,0.5507177337275571,0,0,0,0,0,2,2,37.75,-5.15625,-21.5,7,36.0,-5.25,-21.25,8,N/A_NAN,N/A_NAN,33.75,-5.09375,-21.5,8,6,491536554413,36.0,-5.25,-21.25,8,11,491536554413,-0.288547990784878,0.11168987850411899,,,7,0.600243802
00000269--4014745f93--7:8:1000002,00000269--4014745f93--7,8,491636617528,1000002,R1_STABLE_GROUP_REP_CHANGE,3|6,3|6,6,3,1,0,-2.25,0.15625,-0.25,2.25,0.15625,0.25,1,1,34,34,P2_PUBLISHED_COORDINATE_CHANGE,-2.223712921142578,0.15625,-0.25,-0.46899329948443724,NO_DOWNSTREAM_EFFECT,0,1.8135082128425495,2.1557217908111244,0.3422135779685749,0,0,0,0,0,2,2,36.0,-5.25,-21.25,8,33.75,-5.09375,-21.5,9,N/A_NAN,N/A_NAN,36.0,-5.25,-21.25,9,11,491636617528,33.75,-5.09375,-21.5,9,6,491636617528,0.11168987850411899,-0.35730342098031825,,,1,0.0
00000269--4014745f93--7:14:1000011,00000269--4014745f93--7,14,492236021905,1000011,R2_MEMBER_DISAPPEAR_REP_CHANGE,12|22,22,12,22,0,1,-3.0,0.03125,0.0,3.0,0.03125,0.0,1,1,43,43,P2_PUBLISHED_COORDINATE_CHANGE,-3.004566192626953,0.03125,0.0,-0.34885906989591137,NO_DOWNSTREAM_EFFECT,0,,,,0,0,0,0,0,2,1,46.0,-4.75,-20.75,14,43.0,-4.71875,-20.75,15,N/A_NAN,N/A_NAN,,,,,,,43.0,-4.71875,-20.75,8,23,492236021905,0.5914696751077222,0.24261060521181083,,,14,1.2998035170000002
00000269--4014745f93--7:19:1000028,00000269--4014745f93--7,19,492738338421,1000028,R2_MEMBER_DISAPPEAR_REP_CHANGE,29|30,30,29,30,0,1,-1.25,0.28125,0.25,1.25,0.28125,0.25,1,1,60,60,P2_PUBLISHED_COORDINATE_CHANGE,-1.1827926635742188,0.28125,0.25,0.0,LEAD_COORDINATE_ONLY,1,,,,0,0,0,0,0,2,1,105.75,3.75,-11.75,3,104.5,4.03125,-11.5,4,N/A_NAN,N/A_NAN,,,,,,,104.5,4.03125,-11.5,4,17,492738338421,0.0,0.0,lead_one,lead_one,3,0.201491846
00000269--4014745f93--7:39:1000045,00000269--4014745f93--7,39,494735685947,1000045,R1_STABLE_GROUP_REP_CHANGE,44|47,44|47,44,47,1,0,-1.75,0.28125,0.0,1.75,0.28125,0.0,1,1,77,77,P2_PUBLISHED_COORDINATE_CHANGE,-1.7539749145507812,0.28125,0.0,-0.05551127696167085,NO_DOWNSTREAM_EFFECT,0,1.609375,1.9952782567498626,0.3859032567498626,0,0,0,0,0,2,2,36.25,-5.75,-19.75,10,34.5,-5.46875,-19.75,11,N/A_NAN,N/A_NAN,36.25,-5.75,-19.75,11,18,494735685947,34.5,-5.46875,-19.75,10,22,494735685947,0.13877819240417713,0.08326691544250628,,,10,0.900805578
00000269--4014745f93--7:43:1000049,00000269--4014745f93--7,43,495136430599,1000049,R2_MEMBER_DISAPPEAR_REP_CHANGE,44|48,44,48,44,0,1,-4.5,-0.46875,0.0,4.5,0.46875,0.0,1,1,81,81,P2_PUBLISHED_COORDINATE_CHANGE,-4.464517593383789,-0.46875,0.0,-0.14580570199281162,NO_DOWNSTREAM_EFFECT,0,,,,0,0,0,0,0,2,1,32.25,-5.46875,-19.75,12,27.75,-5.9375,-19.75,13,N/A_NAN,N/A_NAN,,,,,,,27.75,-5.9375,-19.75,15,18,495136430599,0.11990124201125074,-0.02590445998156088,,,10,0.90011642
00000269--4014745f93--7:65:1000019,00000269--4014745f93--7,65,497335436440,1000019,R5_GROUP_MERGE_REP_CHANGE,20,20|91,20,91,1,0,-1.5,0.40625,0.25,1.5,0.40625,0.25,1,1,51,51,P2_PUBLISHED_COORDINATE_CHANGE,-1.4956245422363281,0.40625,0.25,0.3349147900416857,NO_DOWNSTREAM_EFFECT,0,1.171875,1.8325705721024672,0.6606955721024672,0,0,0,0,0,1,2,37.5,-3.71875,-18.25,59,36.0,-3.3125,-18.0,60,N/A_NAN,N/A_NAN,37.5,-3.71875,-18.25,60,30,497335436440,36.0,-3.3125,-18.0,3,0,497335436440,0.10190945879087773,0.43682424883256343,,,59,5.799570891
00000269--4014745f93--7:70:1000076,00000269--4014745f93--7,70,497835878903,1000076,R1_STABLE_GROUP_REP_CHANGE,75|78|98,75|78|98,75,98,1,0,-2.25,-0.40625,0.0,2.25,0.40625,0.0,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-2.2337112426757812,-0.40625,0.0,-0.29124170063594845,NO_DOWNSTREAM_EFFECT,0,1.1595437445418475,1.8063343722709237,0.6467906277290763,0,0,0,0,0,3,3,102.75,2.71875,-17.75,22,100.5,2.3125,-17.75,23,N/A_NAN,N/A_NAN,102.75,2.71875,-17.75,23,26,497835878903,100.5,2.3125,-17.75,4,23,497835878903,0.23585573902325163,-0.05538596161269682,,,22,2.100248656
00000269--4014745f93--7:71:1000076,00000269--4014745f93--7,71,497935716608,1000076,R4_GROUP_SPLIT_REP_CHANGE,75|78|98,75|78,98,78,0,1,-0.5,0.3125,0.25,0.5,0.3125,0.25,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-0.4778289794921875,0.3125,0.25,0.1851754768094892,NO_DOWNSTREAM_EFFECT,0,,,1.5836014755329784,0,0,0,0,0,3,2,100.5,2.3125,-17.75,23,100.0,2.625,-17.5,24,N/A_NAN,N/A_NAN,,,,,,,100.0,2.625,-17.5,18,4,497935716608,-0.05538596161269682,0.12978951519679238,,,1,0.0
00000269--4014745f93--7:72:1000076,00000269--4014745f93--7,72,498035659979,1000076,R1_STABLE_GROUP_REP_CHANGE,75|78,75|78,78,75,1,0,-1.75,-0.25,0.0,1.75,0.25,0.0,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-1.731964111328125,-0.25,0.0,-0.17551390257463673,NO_DOWNSTREAM_EFFECT,0,0.39914091697647835,0.5063033503874268,0.10716243341094844,0,0,0,0,0,2,2,100.0,2.625,-17.5,24,98.25,2.375,-17.5,25,N/A_NAN,N/A_NAN,97.75,2.59375,-17.5,19,4,498035659979,98.25,2.375,-17.5,25,26,498035659979,0.12978951519679238,-0.045724387377844344,,,1,0.0
00000269--4014745f93--7:73:1000076,00000269--4014745f93--7,73,498135718307,1000076,R1_STABLE_GROUP_REP_CHANGE,75|78,75|78,75,78,1,0,-0.5,0.21875,0.0,0.5,0.21875,0.0,1,1,58,58,P2_PUBLISHED_COORDINATE_CHANGE,-0.5013580322265625,0.21875,0.0,-0.25709356479735296,NO_DOWNSTREAM_EFFECT,0,0.390625,1.782364641936009,1.391739641936009,0,0,0,0,0,2,2,98.25,2.375,-17.5,25,97.75,2.59375,-17.5,26,N/A_NAN,N/A_NAN,98.25,2.375,-17.5,26,26,498135718307,97.75,2.59375,-17.5,20,4,498135718307,-0.045724387377844344,-0.3028179521751973,,,1,0.0
