scan,scan_ns,pid,alias,anchor_rep,published_raw,d,y,v,a,member_age_s
0,3365390867699,1000004,36,5,5,71.32020568847656,-6.5,-7.25,0.0,0.024799192
1,3365490669097,1000004,36,5,5,70.58119201660156,-6.46875,-7.0,0.0,0.024115768000000003
2,3365590539812,1000004,36,5,5,70.06591796875,-6.40625,-7.0,0.0,0.026297018000000002
3,3365691521097,1000004,36,5,5,69.33667755126953,-5.90625,-6.75,0.0,0.024195865
4,3365791519039,1000004,36,5,5,68.5832748413086,-6.40625,-6.75,0.0,0.024700348
5,3365890487288,1000004,36,5,5,67.82958221435547,-6.34375,-6.5,1.0571557825443367,0.026218692000000002
6,3365990618863,1000004,36,5,5,67.32344055175781,-6.15625,-6.5,0.8853633891169199,0.027163393
7,3366090700911,1000004,36,5,5,66.5890884399414,-6.09375,-6.25,1.136507803563581,0.025745769
8,3366190523037,1000004,36,5,5,66.09207153320312,-6.0625,-6.0,1.341928546214173,0.026321859000000003
9,3366291035513,1000004,36,5,5,65.35469055175781,-6.09375,-6.0,1.1650393803195656,0.024218727000000002
10,3366390173537,1000004,36,5,5,64.85055541992188,-6.03125,-5.75,1.3577868214978754,0.025990693000000002
11,3366490488949,1000004,36,5,5,64.35301971435547,-5.875,-5.75,1.075625250981695,0.025561463000000003
12,3366590903153,1000004,36,5,5,63.86334228515625,-5.65625,-5.5,1.2379641563883088,0.024846635000000002
13,3366690659972,1000004,36,5,5,63.36428451538086,-5.625,-5.5,0.9654493395060659,0.024675402000000003
14,3366790114945,1000004,36,5,5,62.861881256103516,-5.71875,-5.25,1.1900785983175202,0.026308631000000002
15,3366890150279,1000004,36,5,5,62.614986419677734,-5.65625,-5.25,1.0186658286607373,0.025716605
16,3366989976102,1000004,36,5,5,62.11134338378906,-5.4375,-5.25,0.6759576217659888,0.026410445
17,3367090585080,1000004,36,5,5,61.370609283447266,-5.34375,-5.0,0.843671428894297,0.025878099
18,3367190347731,1000004,36,5,5,60.62392044067383,-5.15625,-4.75,1.1889582554687697,0.026542724
19,3367292319131,1000004,36,5,5,60.63679122924805,-5.15625,-4.75,0.9729922458532205,0.023833242
20,3367391015062,1000004,36,5,5,59.64287185668945,-5.03125,-4.5,1.194797536278387,0.023806110000000002
21,3367490381762,1000004,36,5,5,59.37828826904297,-5.15625,-4.5,0.9501940997928391,0.027047415
22,3367590164568,1000004,36,5,5,58.872825622558594,-5.0625,-4.5,0.6387923575450833,0.02826058
23,3367691187360,1000004,36,5,5,58.37929153442383,-5.03125,-4.25,0.8802055353457994,0.028402389
24,3367789801580,1000004,36,5,5,57.88266372680664,-4.875,-4.5,0.22588342556216423,0.026074331000000003
25,3367891056589,1000004,36,5,5,57.639556884765625,-4.875,-4.5,-0.08455373685441281,0.024543227
26,3367990717688,1000004,36,5,5,57.14289093017578,-4.71875,-4.25,0.28975889991367587,0.025202019000000003
27,3368090264267,1000004,36,5,5,56.640750885009766,-4.65625,-4.25,0.2523002109084769,0.025705252
28,3368190157740,1000004,36,5,5,56.14238739013672,-4.65625,-4.0,0.5796864292351995,0.026903054000000003
29,3368290534448,1000004,36,5,5,55.89583206176758,-4.6875,-4.0,0.5509443484857894,0.026041729000000003
30,3368390120085,1000004,36,5,5,55.394432067871094,-4.71875,-4.0,0.33732236872396415,0.026392113000000002
31,3368491031169,1000004,36,5,5,54.90169906616211,-4.84375,-4.0,0.16259954409574112,0.024574943000000002
32,3368590466717,1000004,36,5,5,54.65446090698242,-4.84375,-3.75,0.5265743450348239,0.025477304000000003
33,3368690764266,1000004,36,5,5,54.407623291015625,-4.59375,-3.75,0.4287291990244242,0.024633999
34,3368790472808,1000004,36,5,5,53.900718688964844,-4.53125,-3.75,0.2730185483265757,0.026474605000000002
35,3368891259373,1000004,36,5,5,53.40781021118164,-4.625,-3.75,0.04231681929746886,0.024583692
36,3368991419851,1000004,36,5,5,52.90633773803711,-4.59375,-3.75,-0.09647172914780894,0.024976832
37,3369090775771,1000004,36,5,5,52.651580810546875,-4.40625,-3.75,-0.1700024743471586,0.026245148000000003
38,3369190205538,1000004,36,5,5,52.40049362182617,-4.5,-3.5,0.29424695067839807,0.028430095000000002
39,3369291182033,1000004,36,5,5,51.908390045166016,-4.5625,-3.5,0.2779659976695315,0.026174321
40,3369390562586,1000004,36,5,5,51.66118240356445,-4.28125,-3.5,0.14646647854155376,0.025376637
41,3369490758061,1000004,36,5,5,51.17041015625,-4.21875,-3.25,0.4695346979444524,0.024488857000000003
42,3369589999617,1000004,36,5,5,50.91458511352539,-4.1875,-3.25,0.39453385039713723,0.02628155
43,3369690905545,1000004,36,5,5,50.67031478881836,-4.21875,-3.25,0.23528838611210873,0.024518281000000003
44,3369790297920,1000004,36,5,5,50.164527893066406,-4.21875,-3.25,0.036840433138959766,0.02629884
45,3369890133533,1000004,36,5,5,49.9173583984375,-4.0625,-3.25,-0.07704670773941745,0.025428559
46,3369990414209,1000004,36,5,5,49.670650482177734,-4.09375,-3.0,0.36771536765810975,0.026449242
47,3370090348459,1000004,36,5,5,49.42306137084961,-4.03125,-3.0,0.39399774623719797,0.025645725
48,3370190133817,1000004,36,5,5,49.171844482421875,-4.03125,-3.0,0.2744529140666012,0.026052458
49,3370290197221,1000004,36,5,5,48.921112060546875,-3.96875,-3.0,0.18412994163535237,0.026295716
50,3370391176267,1000004,36,5,5,48.67441940307617,-3.90625,-3.0,0.06927551959131267,0.025193530000000002
51,3370491356796,1000004,36,5,5,47.93301773071289,-4.15625,-2.75,0.4236593100336113,0.024357359000000002
52,3370591621952,1000004,36,5,5,47.682071685791016,-4.15625,-2.75,0.42191952607754973,0.024701649000000003
53,3370690536768,1000004,36,5,5,47.425350189208984,-4.09375,-2.75,0.2677960037904559,0.027145583
54,3370790479924,1000004,36,5,5,47.17298126220703,-4.125,-2.75,0.15692149619083573,0.028007375
55,3370890935426,1000004,36,5,5,47.18362808227539,-4.125,-2.5,0.5342781693377773,0.026548869000000003
56,3370990605951,1000004,36,5,5,46.68738555908203,-4.15625,-2.5,0.5458748043395646,0.025045367000000002
57,3371090736954,1000004,36,5,5,46.43831253051758,-4.09375,-2.5,0.4208878823386003,0.024675089
58,3371190549965,1000004,36,5,5,45.93417739868164,-4.125,-2.5,0.20003812206279456,0.026329254000000003
59,3371290054048,1000004,36,5,5,45.68681335449219,-4.125,-2.5,0.1273746182808826,0.025275032000000003
60,3371390102923,1000004,36,5,5,45.43376541137695,-4.03125,-2.5,0.037525793550056225,0.026493197000000003
61,3371490170233,1000004,36,5,5,45.436927795410156,-4.03125,-2.5,-0.057906932467226765,0.025228578
62,3371590722862,1000004,36,5,5,45.187992095947266,-4.03125,-2.5,-0.10486133287873353,0.024802421
63,3371690613626,1000004,36,5,5,44.93912887573242,-4.03125,-2.5,-0.1484566924570004,0.024349131000000003
