event_id,key,scan,scan_ns,pid,category,old_members,new_members,old_representative,new_representative,old_rep_still_member,required_change,delta_d,delta_y,delta_v,abs_delta_d,abs_delta_y,abs_delta_v,old_published,new_published,old_alias,new_alias,publication_effect,publication_delta_d,publication_delta_y,publication_delta_v,publication_delta_aLead,radarstate_effect,radarstate_affected,score_delta,old_cost,new_cost,best_vision,old_vision,best_oem,old_oem,support_superiority,group_size_before,group_size_after,old_d,old_y,old_v,old_age,new_d,new_y,new_v,new_age,old_aRel,new_aRel,old_member_current_d,old_member_current_y,old_member_current_v,old_member_current_age,old_member_current_slot,old_member_current_measurement_ns,new_member_current_d,new_member_current_y,new_member_current_v,new_member_current_age,new_member_current_slot,new_member_current_measurement_ns,old_published_aLead,new_published_aLead,lead_role_before,lead_role_after,previous_rep_dwell_scans,previous_rep_dwell_s
00000243--a4d9c0a5dd--0:204:1000133,00000243--a4d9c0a5dd--0,204,177893419091,1000133,R4_GROUP_SPLIT_REP_CHANGE,132|188|190,188|190,132,190,0,1,1.5,-0.59375,0.25,1.5,0.59375,0.25,1,1,57,57,P2_PUBLISHED_COORDINATE_CHANGE,1.5054893493652344,-0.59375,0.25,0.3149917588796624,A_LEAD_CHANGED,1,,,2.4154738784575325,1,0,0,0,1,3,2,11.0,-0.34375,-4.75,71,12.5,-0.9375,-4.5,72,N/A_NAN,N/A_NAN,,,,,,,12.5,-0.9375,-4.5,6,31,177893419091,0.09084070832921415,0.40583246720887656,lead_one,lead_one,71,6.990229854000001
00000243--a4d9c0a5dd--0:216:1000133,00000243--a4d9c0a5dd--0,216,179093642260,1000133,R4_GROUP_SPLIT_REP_CHANGE,132|188|190,132,190,132,0,1,-2.25,0.3125,0.25,2.25,0.3125,0.25,1,1,57,57,P2_PUBLISHED_COORDINATE_CHANGE,-2.245030403137207,0.3125,0.25,0.36772852266313394,A_LEAD_CHANGED,1,,,,0,0,0,0,0,3,1,8.5,-0.59375,-3.25,83,6.25,-0.28125,-3.0,84,N/A_NAN,N/A_NAN,,,,,,,6.25,-0.28125,-3.0,84,7,179093642260,-0.08887436956700616,0.27885415309612777,lead_one,lead_one,12,1.100015462
00000243--a4d9c0a5dd--0:220:1000209,00000243--a4d9c0a5dd--0,220,179492438436,1000209,R5_GROUP_MERGE_REP_CHANGE,188|190|200,132|188|190,200,188,0,1,-1.25,0.34375,0.5,1.25,0.34375,0.5,1,1,94,94,P2_PUBLISHED_COORDINATE_CHANGE,-1.2446622848510742,0.34375,0.5,0.7779854203462944,LEAD_GAIN,1,,,1.3749033918068336,1,0,0,0,1,3,3,9.5,-0.375,-3.0,7,8.25,-0.03125,-2.5,8,N/A_NAN,N/A_NAN,,,,,,,8.25,-0.03125,-2.5,24,28,179492438436,-0.2309127634257577,0.5470726569205366,,lead_one,7,0.60070817
00000243--a4d9c0a5dd--0:228:1000209,00000243--a4d9c0a5dd--0,228,180293174412,1000209,R4_GROUP_SPLIT_REP_CHANGE,132|188|190,132|190,188,190,0,1,-2.0,0.3125,0.5,2.0,0.3125,0.5,1,1,94,94,P2_PUBLISHED_COORDINATE_CHANGE,-1.9858005046844482,0.3125,0.5,0.6356371293859002,A_LEAD_CHANGED,1,,,2.2285868885218445,1,0,0,0,1,3,2,5.75,-0.21875,-1.75,15,3.75,0.09375,-1.25,16,N/A_NAN,N/A_NAN,,,,,,,3.75,0.09375,-1.25,30,7,180293174412,-0.44018710281008155,0.19545002657581867,lead_one,lead_one,8,0.700511414
00000243--a4d9c0a5dd--0:293:1000209,00000243--a4d9c0a5dd--0,293,186803087218,1000209,R4_GROUP_SPLIT_REP_CHANGE,132|190,132,190,132,0,1,-0.75,-0.125,0.0,0.75,0.125,0.0,1,1,94,94,P2_PUBLISHED_COORDINATE_CHANGE,0.0,0.0,0.0,-7.433471035054561e-13,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,3.0,0.09375,0.0,80,2.25,-0.03125,0.0,81,N/A_NAN,N/A_NAN,,,,,,,2.25,-0.03125,0.0,161,21,186803087218,1.8583677587636403e-12,1.1150206552581842e-12,lead_one,lead_one,65,6.4092041360000005
00000247--b657952782--2:203:1000285,00000247--b657952782--2,203,211442809463,1000285,R4_GROUP_SPLIT_REP_CHANGE,248|251,251,248,251,0,1,-0.25,0.03125,0.25,0.25,0.03125,0.25,1,1,79,79,P2_PUBLISHED_COORDINATE_CHANGE,-0.2450699806213379,0.03125,0.25,0.3093906990593873,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,4.75,-0.21875,-1.0,11,4.5,-0.1875,-0.75,12,N/A_NAN,N/A_NAN,,,,,,,4.5,-0.1875,-0.75,9,10,211442809463,0.1332554782268386,0.4426461772862259,lead_one,lead_one,11,0.99787954
00000250--8354d55131--0:300:1000000,00000250--8354d55131--0,300,83808175368,1000000,R4_GROUP_SPLIT_REP_CHANGE,1|45,45,1,45,0,1,-2.25,1.5625,0.0,2.25,1.5625,0.0,1,1,32,32,P2_PUBLISHED_COORDINATE_CHANGE,-2.2494778633117676,1.5625,0.0,0.18241889576623738,A_LEAD_CHANGED,1,,,,0,0,0,0,0,2,1,4.75,-0.28125,0.25,315,2.5,1.28125,0.25,316,N/A_NAN,N/A_NAN,,,,,,,2.5,1.28125,0.25,64,20,83808175368,-0.4557301781939608,-0.2733112824277234,lead_one,lead_one,300,29.909526030000002
00000250--8354d55131--0:325:1000058,00000250--8354d55131--0,325,86307942032,1000058,R1_STABLE_GROUP_REP_CHANGE,55|72,55|72,55,72,1,0,0.0,-0.09375,0.0,0.0,0.09375,0.0,1,1,83,83,P2_PUBLISHED_COORDINATE_CHANGE,0.005570888519287109,-0.09375,0.0,-0.042661188834902664,A_LEAD_CHANGED,1,1.0181221415920167,1.093996216826927,0.07587407523491035,0,0,0,0,0,2,2,4.75,0.40625,0.5,32,4.75,0.3125,0.5,33,N/A_NAN,N/A_NAN,3.75,0.4375,0.5,33,17,86307942032,4.75,0.3125,0.5,9,26,86307942032,0.16803441327874888,0.12537322444384622,lead_one,lead_one,31,3.000616871
00000250--8354d55131--0:336:1000058,00000250--8354d55131--0,336,87407364620,1000058,R4_GROUP_SPLIT_REP_CHANGE,55|72|79,55|79,72,55,0,1,-2.0,0.125,0.0,2.0,0.125,0.0,1,1,83,83,P2_PUBLISHED_COORDINATE_CHANGE,-1.9810984134674072,0.125,0.0,-0.06753744990012521,LEAD_LOSS,1,,,2.1396060090566036,0,0,0,0,0,3,2,5.25,-0.40625,0.5,43,3.25,-0.28125,0.5,44,N/A_NAN,N/A_NAN,,,,,,,3.25,-0.28125,0.5,44,23,87407364620,0.05639058441849723,-0.01114686548162798,lead_one,,11,1.000017777
00000250--8354d55131--2:35:1000001,00000250--8354d55131--2,35,179327298383,1000001,R5_GROUP_MERGE_REP_CHANGE,2,2|23,2,23,1,0,0.0,0.0625,0.0,0.0,0.0625,0.0,1,1,33,33,P2_PUBLISHED_COORDINATE_CHANGE,0.007081389427185059,0.0625,0.0,0.06332163300672647,A_LEAD_CHANGED,1,2.936309911103507,3.0426587148847686,0.1063488037812616,0,0,0,0,0,1,2,2.0,-0.09375,-0.75,35,2.0,-0.03125,-0.75,36,N/A_NAN,N/A_NAN,4.5,-0.53125,-1.25,36,20,179327298383,2.0,-0.03125,-0.75,3,5,179317845057,-0.15830408251681616,-0.09498244951008969,lead_one,lead_one,35,3.400180568
