key,policy,scan,scan_ns,effect,baseline_lead1,candidate_lead1,baseline_lead2,candidate_lead2
00000247--b657952782--2,E,393,230442706467,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,394,230542630015,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,396,230743119665,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,397,230843236672,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,405,231643160764,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,408,231943164615,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,409,232043265988,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,410,232142402200,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,411,232243295484,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,412,232342520207,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,413,232443542355,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,414,232543660739,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,415,232643545723,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,417,232842707816,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,418,232942758659,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,419,233042949479,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,420,233142590907,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,421,233243498026,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,422,233342535620,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,423,233443554833,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,424,233542669342,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,425,233642615232,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,426,233742690946,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,427,233843222161,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,428,233942704790,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,429,234044013229,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,430,234144298024,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,433,234443201246,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,434,234543321458,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,435,234643023611,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,436,234742815281,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,437,234843502802,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,438,234942705656,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,439,235042442490,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,440,235142244107,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,441,235243202457,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,442,235342489643,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,443,235443454229,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,444,235542596802,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,445,235643656164,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,446,235743642618,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,447,235843894969,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,448,235942838145,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,449,236043041493,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,450,236142708933,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,451,236242937157,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,452,236342481978,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,453,236442856361,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,454,236542853248,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,455,236642670528,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,457,236843091842,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,458,236943178925,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,459,237043286421,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,460,237142606380,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,461,237243052401,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,470,238142678066,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,474,238543137170,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,478,238943290893,LEAD_ID_CHANGED,44,35,-1,-1
00000247--b657952782--2,E,479,239044697075,LEAD_ID_CHANGED,44,35,-1,-1
00000252--d191bee66c--0,E,352,107848658967,LEAD_ID_CHANGED,34,90,-1,-1
00000252--d191bee66c--0,E,353,107948095699,LEAD_ID_CHANGED,34,90,-1,-1
00000252--d191bee66c--0,E,354,108048396747,LEAD_ID_CHANGED,34,90,-1,-1
00000252--d191bee66c--0,E,356,108248200567,LEAD_GAIN,-1,90,-1,-1
00000252--d191bee66c--0,E,357,108348612136,LEAD_GAIN,-1,90,-1,-1
00000252--d191bee66c--0,E,358,108448027642,A_LEAD_CHANGED,90,90,-1,-1
00000252--d191bee66c--0,E,359,108548012879,A_LEAD_CHANGED,90,90,-1,-1
00000252--d191bee66c--0,E,360,108648654085,A_LEAD_CHANGED,90,90,-1,-1
