key,pid,pattern,start_scan,end_scan,duration_s,representatives,stable_members,member_sets
00000243--a4d9c0a5dd--0,1000094,A_B_A,120,122,0.200530805,99|95|99,1,95|99;95|99;95|99
00000245--2c15eb5d45--12,1000095,A_B_A,172,179,0.7004098740000001,99|95|99,1,95|99;95|99;95|99
00000245--2c15eb5d45--12,1000095,A_B_A,178,181,0.300230053,95|99|95,1,95|99;95|99;95|99
00000245--2c15eb5d45--12,1000095,A_B_A,180,182,0.199519883,99|95|99,1,95|99;95|99;95|99
00000245--2c15eb5d45--12,1000206,A_B_A,329,331,0.200255381,204|202|204,1,202|204;202|204;202|204
00000245--2c15eb5d45--12,1000250,A_B_A,366,368,0.20095422400000001,252|244|252,1,244|252;244|252;244|252
00000245--2c15eb5d45--12,1000332,A_B_A,452,456,0.39893619900000005,325|323|325,1,323|325;323|325;323|325
00000245--2c15eb5d45--19,1000011,A_B_A,47,49,0.199151249,55|31|55,1,31|55;31|55;31|55
00000245--2c15eb5d45--19,1000116,A_B_A,64,66,0.199628502,126|114|126,1,114|126;114|126;114|126
00000245--2c15eb5d45--19,1000083,A_B_A,78,81,0.29890961600000004,151|105|151,1,105|151;105|151;105|151
00000245--2c15eb5d45--19,1000083,A_B_A,80,82,0.20023404700000003,105|151|105,1,105|151;105|151;105|151
00000245--2c15eb5d45--19,1000150,A_B_A,83,85,0.19912469100000002,148|147|148,1,147|148;147|148;147|148
00000245--2c15eb5d45--19,1000150,A_B_A,84,87,0.30051509400000004,147|148|147,1,147|148;147|148;147|148
00000245--2c15eb5d45--19,1000150,A_B_A,86,88,0.20008128800000002,148|147|148,1,147|148;147|148;147|148
00000245--2c15eb5d45--19,1000150,A_B_A,92,95,0.30017993200000004,147|148|147,1,147|148|174;147|148|174;147|148|174
00000245--2c15eb5d45--19,1000209,A_B_A,147,149,0.19982065400000001,242|202|242,1,202|242;202|242;202|242
00000245--2c15eb5d45--19,1000209,A_B_A,148,151,0.30004705600000003,202|242|202,1,202|242;202|242;202|242
00000245--2c15eb5d45--19,1000479,A_B_A,433,435,0.20012100300000002,461|460|461,1,460|461;460|461;460|461
00000245--2c15eb5d45--19,1000643,A_B_A,508,510,0.20023674200000002,612|629|612,1,612|629;612|629;612|629
00000245--2c15eb5d45--19,1000643,A_B_A,509,513,0.399066346,629|612|629,1,612|629;612|629;612|629
00000245--2c15eb5d45--19,1000784,A_B_A,567,569,0.199449327,765|749|765,1,749|765;749|765;749|765
00000245--2c15eb5d45--19,1000784,A_B_A,568,572,0.400002038,749|765|749,1,749|765;749|765;749|765
00000245--2c15eb5d45--19,1000787,A_B_A,568,572,0.400002038,755|752|755,1,752|755;752|755;752|755
00000245--2c15eb5d45--19,1000784,A_B_A,571,573,0.20113692800000002,765|749|765,1,749|765;749|765;749|765
00000245--2c15eb5d45--19,1000784,A_B_A,572,576,0.399231738,749|765|749,1,749|765;749|765;749|765
00000245--2c15eb5d45--19,1000784,A_B_A,575,582,0.69956927,765|749|765,1,749|765;749|765;749|765
00000245--2c15eb5d45--19,1000809,A_B_A,583,586,0.299532951,777|786|777,1,774|777|786;774|777|786;774|777|786
00000245--2c15eb5d45--19,1000809,A_B_A,585,588,0.301934878,786|777|786,1,774|777|786;774|777|786;774|777|786
00000245--2c15eb5d45--21,1000055,A_B_A,40,42,0.20013475,59|53|59,1,53|59;53|59;53|59
00000245--2c15eb5d45--21,1000058,A_B_A,40,42,0.20013475,55|56|55,1,55|56;55|56;55|56
00000245--2c15eb5d45--21,1000073,A_B_A,65,67,0.200220278,66|70|66,1,66|70;66|70;66|70
00000245--2c15eb5d45--21,1000079,A_B_A,65,67,0.200220278,74|76|74,1,74|76;74|76;74|76
00000245--2c15eb5d45--21,1000155,A_B_A,114,116,0.200598817,168|152|168,1,152|168;152|168;152|168
00000245--2c15eb5d45--21,1000627,A_B_A,490,494,0.39020916600000005,603|601|603,1,601|603;601|603;601|603
00000245--2c15eb5d45--7,1000028,A_B_A,10,19,0.900417855,39|29|39,1,29|39;29|39;29|39
00000245--2c15eb5d45--7,1000014,A_B_A,18,20,0.19857390300000002,36|15|36,1,15|36;15|36;15|36
00000245--2c15eb5d45--7,1000028,A_B_A,18,20,0.19857390300000002,29|39|29,1,29|39;29|39;29|39
00000245--2c15eb5d45--7,1000014,A_B_A,19,24,0.499349778,15|36|15,1,15|36;15|36;15|36
00000245--2c15eb5d45--7,1000078,A_B_A,39,41,0.200067358,89|74|89,1,74|89;74|89;74|89
00000245--2c15eb5d45--7,1000078,A_B_A,40,42,0.200388955,74|89|74,1,74|89;74|89;74|89
00000245--2c15eb5d45--7,1000079,A_B_A,40,42,0.200388955,97|75|97,1,75|97;75|97;75|97
00000245--2c15eb5d45--7,1000089,A_B_A,40,42,0.200388955,86|84|86,1,84|86;84|86;84|86
00000245--2c15eb5d45--7,1000079,A_B_A,41,50,0.9006053500000001,75|97|75,1,75|97;75|97;75|97
00000245--2c15eb5d45--7,1000138,A_B_A,63,65,0.20130684100000001,132|131|132,1,131|132;131|132;131|132
00000245--2c15eb5d45--7,1000138,A_B_A,64,78,1.400284367,131|132|131,1,131|132;131|132;131|132
00000245--2c15eb5d45--7,1000138,A_B_A,77,79,0.199764203,132|131|132,1,131|132;131|132;131|132
00000245--2c15eb5d45--7,1000138,A_B_A,78,80,0.19967952,131|132|131,1,131|132;131|132;131|132
00000245--2c15eb5d45--7,1000138,A_B_A,79,82,0.302102702,132|131|132,1,131|132;131|132;131|132
00000245--2c15eb5d45--7,1000174,A_B_A,88,90,0.19973827200000002,172|166|172,1,166|172;166|172;166|172
00000245--2c15eb5d45--7,1000179,A_B_A,90,92,0.20070202,173|171|173,1,171|173;171|173;171|173
00000245--2c15eb5d45--7,1000179,A_B_A,91,93,0.20039156900000002,171|173|171,1,171|173;171|173;171|173
00000245--2c15eb5d45--7,1000179,A_B_A,92,99,0.700219424,173|171|173,1,171|173;171|173;171|173
00000245--2c15eb5d45--7,1000257,A_B_A,183,185,0.19949724200000002,248|246|248,1,246|248;246|248;246|248
00000245--2c15eb5d45--7,1000257,A_B_A,184,188,0.399953194,246|248|246,1,246|248;246|248;246|248
00000245--2c15eb5d45--7,1000257,A_B_A,187,189,0.200405555,248|246|248,1,246|248;246|248;246|248
00000245--2c15eb5d45--7,1000452,A_B_A,359,363,0.39995392500000004,444|431|444,1,431|444;431|444;431|444
00000245--2c15eb5d45--7,1000564,A_B_A,447,449,0.20059599,551|540|551,1,540|551;540|551;540|551
00000245--2c15eb5d45--7,1000564,A_B_A,448,450,0.200562867,540|551|540,1,540|551;540|551;540|551
00000245--2c15eb5d45--7,1000564,A_B_A,449,451,0.200184822,551|540|551,1,540|551;540|551;540|551
00000245--2c15eb5d45--7,1000564,A_B_A,450,462,1.1990110820000002,540|551|540,1,540|551;540|551;540|551
00000245--2c15eb5d45--7,1000564,A_B_A,461,463,0.19965470000000002,551|540|551,1,540|551;540|551;540|551
00000245--2c15eb5d45--7,1000587,A_B_A,461,463,0.19965470000000002,562|561|562,1,561|562;561|562;561|562
00000245--2c15eb5d45--7,1000572,A_B_A,462,466,0.40172796200000005,572|548|572,1,548|572;548|572;548|572
00000245--2c15eb5d45--7,1000587,A_B_A,462,466,0.40172796200000005,561|562|561,1,561|562;561|562;561|562
00000245--2c15eb5d45--7,1000587,A_B_A,465,467,0.200266946,562|561|562,1,561|562;561|562;561|562
00000245--2c15eb5d45--7,1000614,A_B_A,492,494,0.200081736,595|583|595,1,583|595;583|595;583|595
00000245--2c15eb5d45--7,1000684,A_B_A,541,555,1.3996184150000002,660|652|660,1,652|660;652|660;652|660
00000245--2c15eb5d45--7,1000684,A_B_A,554,556,0.20091097700000002,652|660|652,1,652|660;652|660;652|660
00000245--2c15eb5d45--7,1000704,A_B_A,555,557,0.20002171900000001,668|667|668,1,667|668;667|668;667|668
00000245--2c15eb5d45--7,1000704,A_B_A,556,558,0.199506132,667|668|667,1,667|668;667|668;667|668
00000245--2c15eb5d45--7,1000704,A_B_A,557,559,0.199440095,668|667|668,1,667|668;667|668;667|668
00000245--2c15eb5d45--7,1000704,A_B_A,558,560,0.20025852500000002,667|668|667,1,667|668;667|668;667|668
00000245--2c15eb5d45--7,1000738,A_B_A,587,589,0.19977634000000002,700|699|700,1,699|700;699|700;699|700
00000247--b657952782--1,1000335,A_B_A,263,277,1.400106042,317|307|317,1,307|311|317;307|311|317;307|311|317
00000247--b657952782--1,1000446,A_B_A,337,339,0.199664693,410|404|410,1,404|410;404|410;404|410
00000247--b657952782--15,1000531,A_B_A,506,509,0.29990545900000004,538|513|538,1,513|538;513|538;513|538
00000247--b657952782--16,1000080,A_B_A,86,89,0.300142858,86|81|86,1,81|86;81|86;81|86
00000247--b657952782--16,1000080,A_B_A,88,93,0.499305239,81|86|81,1,81|86;81|86;81|86
00000247--b657952782--16,1000077,A_B_A,93,95,0.201024999,88|78|88,1,78|88;78|88;78|88
00000247--b657952782--16,1000095,A_B_A,94,108,1.3996304460000002,100|96|100,1,96|100;96|100;96|100
00000247--b657952782--17,1000378,A_B_A,317,319,0.199499543,394|369|394,1,369|394;369|394;369|394
00000247--b657952782--17,1000393,A_B_A,317,319,0.199499543,392|384|392,1,384|392;384|392;384|392
00000247--b657952782--17,1000405,A_B_A,318,320,0.19938396500000002,398|396|398,1,396|398;396|398;396|398
00000247--b657952782--17,1000405,A_B_A,319,321,0.20032286700000002,396|398|396,1,396|398;396|398;396|398
00000247--b657952782--17,1000409,A_B_A,327,329,0.200000005,404|400|404,1,400|404;400|404;400|404
00000247--b657952782--17,1000469,A_B_A,408,410,0.19906621700000002,479|457|479,1,457|479;457|479;457|479
00000247--b657952782--18,1000242,A_B_A,269,271,0.200766724,250|235|250,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,270,272,0.19906215900000002,235|250|235,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,283,285,0.19920794600000002,250|235|250,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,284,286,0.200092972,235|250|235,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,285,287,0.20112295000000002,250|235|250,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,286,292,0.600259768,235|250|235,1,235|250;235|250;235|250
00000247--b657952782--18,1000242,A_B_A,291,293,0.200149937,250|235|250,1,235|250;235|250;235|250
00000247--b657952782--18,1000509,A_B_A,426,428,0.199737398,497|493|497,1,493|497;493|497;493|497
00000247--b657952782--18,1000509,A_B_A,427,429,0.19976854400000002,493|497|493,1,493|497;493|497;493|497
00000247--b657952782--18,1000652,A_B_A,548,552,0.40033931,646|635|646,1,635|646;635|646;635|646
00000247--b657952782--18,1000652,A_B_A,551,553,0.19979569500000002,635|646|635,1,635|646;635|646;635|646
00000247--b657952782--19,1000313,A_B_A,209,211,0.19920073600000002,317|310|317,1,310|317;310|317;310|317
